,0
0,"['Bendeleider die 37 jaar kreeg voor reeks onthoofdingen overlijdt in cel aan corona']['Een beruchte bendeleider is in Mexico\'s zwaarst bewaakte gevangenis, Puente Grande, overleden aan de gevolgen van het coronavirus. De 45-jarige Moisés ...']"
1,"['Aantal doden door corona stijgt met 16 naar 5456, 36 nieuwe opnames']['Het officiële dodental door het coronavirus is vandaag met 16 gestegen. Sinds het begin van de uitbraak zijn zeker 5456 mensen in Nederland overleden die ...']"
2,"['Mag ik een kinderfeestje organiseren in mijn tuin?']['Als mijn kinderen buiten mogen spelen en de scholen ook weer open gaan, mag ik dan ook een verjaardagsfeestje voor ze organiseren? Dat vragen meerdere ...']"
3,['Eén nieuwe besmetting met corona in Drenthe']['De nieuwste coronacijfers van het RIVM vertonen voor Drenthe nagenoeg hetzelfde beeld als een dag eerder. In de afgelopen 24 uur is er slechts één ...']
4,"['Overeenkomst corona en Spaanse griep: ook toen zou het roer omgaan']['Het coronavirus verwoest duizenden levens. Hoe erg ook, het staat in schril contrast tot de Spaanse griep, die honderd jaar geleden miljoenen mensen van de ...']"
5,"['Is er dan nog tenminste één zekerheid over corona?']['Eensgezindheid over de oorzaak, de aanpak en de gevolgen van de coronacrisis is steeds verder te zoeken. De wereld lijkt zeven weken na de escalati...']"
6,"['Chip moet binnen minuut vertellen of iemand corona heeft']['Binnen een minuut weten of iemand het coronavirus heeft. Daar werkt het jonge Amsterdamse bedrijf Spektrax aan. Het ontwikkelt een scanner en een chip, die ...']"
7,"['Terneuzenaar met corona naar ziekenhuis']['Opnieuw is een inwoner van Zeeland met coronaverschijnselen naar het ziekenhuis gebracht, blijkt uit cijfers van het RIVM. Het gaat om een inwoner van ...']"
8,"['Corona in Friesland - 11 mei | Talma Hûs open voor bezoek, zes nieuwe coronabesmettingen in azc Sneek']['In het azc in Sneek zijn sinds vrijdag zes mensen positief getest op het coronavirus. Dat maakte de GGD Fryslân maandagmiddag in een persconferentie ...']"
9,"['\'Politie ontvangt sinds corona-uitbraak meer meldingen over overlast\'']['De politie heeft sinds de uitbraak van COVID-19 meer meldingen over overlast gekregen, zo blijkt zondagavond uit cijfers die zijn opgevraagd door NRC.']"
10,['Corona overleefd? Dan begint het pas']['Van de duizenden coronapatiënten op de ic\'s herstelt gelukkig een groot aantal. Maar dan begint het fysieke én mentale herstel. \'Sommige hebben vreselijke ...']
11,"['Oud-Ajacied Litmanen hersteld van corona | Buitenlands voetbal']['Oud-Ajacied Jari Litmanen (49) is hersteld van een besmetting met het coronavirus. Dat heeft de voormalig Fins international in eigen land laten weten. ,,Ik heb ...']"
12,['Onderzoek van UT-hoogleraar toont gevolgen van corona: Kwart minder kankerdiagnoses']['ENSCHEDE – Gedurende de corona-pandemie zijn in Nederland wekenlang een kwart minder kankerdiagnoses gesteld. Patiënten gingen niet of later naar de ...']
13,['VEH pleit voor gelijke behandeling huiseigenaren die in problemen zitten door corona']['Vereniging Eigen Huis wil dat banken en geldverstrekkers huiseigenaren die in financiële problemen zijn gekomen als gevolg van de coranacrisis gelijk ...']
14,"['Regio: aantal ziekenhuisopnames en overledenen door corona gelijk']['Het aantal mensen uit onze regio dat vanwege het coronavirus is opgenomen in het ziekenhuis, is opnieuw onveranderd gebleven.']"
15,['Corona-update | Schoolpleinen stromen vol en wanneer kunnen we weer vakantie vieren in het buitenland?']['VideoDe nieuwsberichten over de coronacrisis volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Zo ben je ...']
16,"['\'Als alles meezit: over 5 maanden medicijn tegen corona\'']['Hoogleraar celbiologie van het Erasmus MC, Frank Grosveld, is optimistisch over een medicijn tegen corona. Grosveld ontdekte een antilichaam tegen het ...']"
17,['Tweede noodpakket corona: dit weten we er nu al van']['Een nieuw noodpakket voor corona lijkt op komst. Hier lees je wat dit betekent voor ondernemers.']
18,"['Eventbranche over corona: festivals die verbinding bieden, blijven overeind']['Grote festivals en evenementen worden pas weer toegestaan als er een vaccin tegen corona is. Wat betekent dit concreet voor de eventbranche? Chantal ...']"
19,['Topsport ten tijde van de corona-uitbraak']['Over de hele wereld worden topsporters vanwege de uitbraak van het nieuwe coronavirus gedwongen om andere trainingsmethoden en -locaties te gebruiken.']
20,"['Een betere wereld na corona? Uit zichzelf gaat de mens zich niet beter gedragen']['Mooie vergezichten voor de wereld na corona houden geen rekening met hoe de mensheid in elkaar steekt, schrijft Jan Willem Aartsen, advocaat te Utr...']"
21,"['\'Zonder corona zouden wij nooit met elkaar in contact zijn gekomen\'']['In wijken met veel armoede hebben de economische gevolgen van de coronacrisis grote impact. Zo ook in Hillesluis, een van de armste buurten van Rotterdam.']"
22,['Corona-hulp aan Afrika vanuit een Bredase woonkamer']['BREDA - Vanuit zijn woonkamer in \'t Ginneken onderhoudt Job van der Zon dagelijks contact met Zimbabwe en Malawi. Als voorzitter van ...']
23,"['Corona \'feest\' voor gamingsector']['Wat uit de kwartaalcijfers van de belangrijkste gamebedrijven al bleek, wordt nog eens bevestigd door het Nederlandse Newzoo: de coronacrisis stimuleert het ...']"
24,['RIVM: \'Al 24 dagen geen doden door corona in gemeente Barneveld\'']['[BARNEVELD] Volgens de officiële cijfers van het RIVM zijn er sinds 17 april geen inwoners van de gemeente Barneveld overleden aan het coronavirus.']
25,"['Een wc-rol op je onderbeen: Rens heeft corona-tatoeage']['De Tattoo Grot in Rotterdam opent morgen haar deuren weer, maar vandaag wordt er al proefgedraaid. Rens van Gastel liet vanmorgen als een van de eersten ...']"
26,['Jari Litmanen hersteld van corona: \'Ik heb mij nog nooit zo slecht gevoeld\'']['Oud-Ajacied Jari Litmanen (49) is hersteld van een besmetting met het nieuwe coronavirus. Dat heeft de voormalig Fins international in eigen land laten weten.']
27,['Genemuidenaar overleden aan corona']['In Genemuiden is afgelopen weekeinde opnieuw een inwoner bezweken aan de gevolgen van het coronavirus. Dat maakte burgemeester Bilder ...']
28,['Corona-paniek bij Meilandjes: \'Ik vind dit zó erg!\'']['In Chateau Meiland is maandagavond (20:30 op SBS 6) te zien hoe de familie een gast met corona-verschijnselen probeert te helpen. Maar dat blijkt nog niet zo ...']
29,['Horeca Seoul weer op slot om nieuwe corona-uitbraak te voorkomen']['De Zuid-Koreaanse hoofdstad Seoul heeft alle uitgaansgelegenheden weer gesloten vanwege een aantal besmettingen in de populaire uitgaansbuurt Itaewon.']
30,"['Design tijdens corona Bureaus met lef en visie gaan nu het verschil maken']['MarketingTribune in gesprek met Frank Nas, managing director brand &amp; design agency Design Bridge en voorzitter BNO NextPack, over de gevolgen van de ...']"
31,"['Waberer\'s kroop uit dal, corona duwt ze er terug in']['Waberer\'s boekte in het eerste kwartaal van dit jaar een kleine winst voor belastingen (ebit) van 0,1 miljoen euro. Het was voor het eerst sinds het derde ...']"
32,"['Wisselend beeld bij gevolgen corona in havengebied Zwolle']['De invloed van corona is ook merkbaar bij de binnenhavens, zoals die van Zwolle. Toch vallen de gevolgen voor de ladingstromen daar vooralsnog mee, vertelt ...']"
33,"['Francoise Hagen schreef Corona de Musical voor groepen 8']['Om de onzekere periode een plekje te geven, bedacht Francoise Hagen (46), docent op een basisschool in Bussum, Corona de Musical.']"
34,"['\'Het antwoord op corona schuilt in de bossen\'']['Het coronavirus is een gevolg van de verstoorde relatie tussen mens en natuur, zegt Levi Sucre Romero uit de Costa Ricaanse Bribri-gemeenschap.']"
35,"['Louis van Gaal ziet \'egocentrische wereld\' veranderen door corona']['Louis van Gaal vindt dat we in een egocentrische wereld leven, maar door het coronavirus lijkt dat volgens de voormalig voetbaltrainer te veranderen. Dat zegt ...']"
36,"['In zorginstelling \'s Heeren Loo is corona extra lastig']['Gehandicaptenzorg: Als corona toeslaat in een instelling voor verstandelijk gehandicapten ontstaan er allerlei ingewikkelde kwesties, van bezoek achter glas…']"
