,0
0,['Healthcare workers face layoffs despite coronavirus']
1,"['Answering Your Coronavirus Questions: Essential Workers, Treatment And Graduations']"
2,['Justice Dept. scrutinizes White House-connected doctor linked to disputed coronavirus treatment']
3,"['She was asked to pay thousands for her coronavirus treatment, he got a free ride. She\'s American. He\'s Italian']"
4,['Coronavirus World Updates: Live Tracker']
5,['A Life and Death Battle: 4 Days of Kidney Failure but No Dialysis']
6,['Live updates: Buffett’s Berkshire Hathaway reports nearly $50 billion loss amid coronavirus pandemic; Nazi slogans seen at \'reopen Illinois’ protest']
7,['Most major health insurers aren’t charging patients for coronavirus treatment — but there’s one big catch']
8,['Exclusive: U.S. coronavirus stimulus went to some healthcare providers facing criminal inquiries']
9,"['Coronavirus update today: Preparing for two more years, remdesivir approved']"
10,['Health care worker suicides hint at Covid-19 mental health crisis to come']
11,['Nurses Left Vulnerable To COVID-19: \'We\'re Not Martyrs Sacrificing Our Lives\'']
12,['Coronavirus live updates: FDA authorizes remdesivir; thousands of deaths tied to nursing homes; Over 65K have died in US']
13,['Healthcare worker recovers from coronavirus with help of stem cells']
14,['Coronavirus pandemic in the US: Live updates']
15,['Philippine nurses told to stay home to fight coronavirus']
16,['Coronavirus treatment drug UF Health helped develop gets emergency FDA apporval']
17,['New York quietly conducting coronavirus tests at grocery stores']
18,['Young Doctors Struggle to Treat Coronavirus Patients: ‘We Are Horrified and Scared’']
19,['Coronavirus battle is \'recipe\' for disaster for health care workers: experts']
20,[]
21,['Coronavirus kindness: Bay Area Asian restaurants partner with Feed Your Hospital to support health care workers during COVID-19 pandemic']
22,['Thousands of health care workers demand investigation of hospitals\' coronavirus response']
23,['What would remdesivir treatment look like and is it effective?']
24,['The U.S. wants Mexico to keep its defense and health-care factories open. Mexican workers are getting sick and dying.']
25,['Luke AFB salutes Arizonans battling coronavirus with 15-plane flyover']
26,['Nurse died from coronavirus after order to admit sick man']
27,['Five ways the coronavirus could change American politics | TheHill']
28,['The Essential Workers Filling New York’s Coronavirus Wards']
29,"['California could be \'days\' away from easing restrictions, NBA postpones draft lottery']"
30,"['Coronavirus: 14,000 Stanford Health Care workers hit with furloughs, pay cuts']"
31,['Arizona GOP chair encourages anti-stay-at-home protesters to dress like health care workers']
32,['Are we close to a coronavirus treatment?']
33,['Northeast: Coronavirus-Related Restrictions And Reopenings']
34,"['N.J. cardiologist suffers stroke due to coronavirus, and he’s not alone']"
