,0
0,"['Eerste nieuwe besmetting sinds maand in corona-bakermat Wuhan']['In de Chinese stad Wuhan, waar het nieuwe coronavirus eind vorig jaar uitbrak, is een nieuwe besmetting met COVID-19 vastgesteld. Het is het eerste geval in ...']"
1,"['Corona: na Kessel ook immuuntesten in Roermond']['Inwoners van de regio Roermond die coronaklachten hebben of hebben gehad, kunnen vanaf de tweede helft van mei laten testen of ze immuun zijn voor het ...']"
2,['Britse premier Johnson komt met alarmsysteem tegen corona']['De Britse premier Boris Johnson komt zoals verwacht met een nieuw waarschuwingssysteem waarmee de ontwikkeling van coronabesmettingen in het ...']
3,['Onderzoek van UT-hoogleraar toont gevolgen van corona: Kwart minder kankerdiagnoses']['ENSCHEDE – Gedurende de corona-pandemie zijn in Nederland wekenlang een kwart minder kankerdiagnoses gesteld. Patiënten gingen niet of later naar de ...']
4,['Corona in Friesland - 10 mei | Gelatenheid in Sneek en pallets voor hamsteraars']['Vanaf middernacht mogen de kappers weer knippen. Maandagochtend openen de scholen. Dat is wat komen gaat. In het corona-overzicht van zondag kijken ...']
5,"['Straks kom je in India nergens meer binnen zonder corona-app']['India: Ook India gebruikt een app tegen verspreiding van het virus. Die zal ook na de lockdown niet meer verdwijnen, denken Indiërs. Onlangs ontving Jones…']"
6,['Chip moet binnen minuut vertellen of iemand corona heeft']['Binnen een minuut weten of iemand het coronavirus heeft. Daar werkt het jonge Amsterdamse bedrijf Spektrax aan.']
7,['Corona-vrij knuffelscherm op proef in Bladel | Coronavirus | ed.nl']['videoBLADEL - Al ruim zeven weken geen lichamelijk contact gehad. Maar met het \'knuffelscherm\' kan dat toch in tijd van corona. Verzorgingscentrum Oktober ...']
8,"['Corona: Heilooënaar overlijdt, enkele nieuwe besmettingen er... - Noordhollandsdagblad']['In de afgelopen weekeinde is, zo blijkt, een inwoner van Heiloo overleden aan de gevolgen van het coronavirus.']"
9,"['Corona, stortregen en miljoenen sprinkhanen brengen rampspoed in Oost-Afrika']['Een dodelijke cocktail van het coronavirus, stortregen en sprinkhanen overspoelt Oost-Afrika met rampspoed. Zware overstromingen hebben honderden levens ...']"
10,['UPDATE CORONA: Zeer lage cijfers']['[BUNNIK] Het aantal patiënten dat in het ziekenhuis is opgenomen vanwege COVID-19 en het aantal overledenen patiënten zijn inmiddels net zo laag als in het ...']
11,"['In zorginstelling \'s Heeren Loo is corona extra lastig']['Gehandicaptenzorg: Als corona toeslaat in een instelling voor verstandelijk gehandicapten ontstaan er allerlei ingewikkelde kwesties, van bezoek achter glas…']"
12,"['Door maatregelen zien we niet alleen minder corona: ook griep, kinkhoest en salmonella zijn weg']['Door alle beperkende maatregelen voor het coronavirus zien we niet alleen een daling van corona gevallen, maar ook van andere virussen. Kinkhoest ...']"
13,['Corona-update: Tholenaar met corona naar ziekenhuis']['Inmiddels zijn in Zeeland 151 mensen met corona opgenomen in het ziekenhuis. Want uit de meldingen van het RIVM van vandaag blijkt dat op 7 mei nog een ...']
14,['Zorgen over corona-app | Vakantie tijdens coronacrisis']['Op ons reactieplatform NUjij kunnen bezoekers over het nieuws discussiëren en de redactie vragen stellen. We krijgen tienduizenden reacties per week binnen.']
15,"['Met hoeveel personen mag je in de auto? En is een mondkapje verplicht?']['Met hoeveel personen mag je eigenlijk in de auto zitten? En is het dragen van een mondkapje verplicht? Deze vragen van onder anderen Rudie, Inge en Mies ...']"
