,0
0,"['Nederlanders gebruiken hun vakantiegeld in tijden van corona voor de spaarpot']['Door de coronacrisis zit een lange vakantie er voorlopig niet in, toch krijgen de meesten van ons deze of volgende maand het vakantiegeld uitbetaald. Maar wat ...']"
1,"['\'Na corona volgt in een deel van de wereld de hongerpandemie\'']['Na de uitbraak van de coronapandemie dreigt een nieuwe pandemie: die van de honger. David Beasley, directeur van het World Food Programme, kijkt me...']"
2,"['Gezamenlijke verklaring Nederland, België en Duitsland over het tegengaan van de verspreiding van corona virus']['Nieuwsbericht | 08-05-2020 | 17:35. Minister van Justitie en Veiligheid Grapperhaus heeft de afgelopen weken intensief contact gehad met Belgisch minister ...']"
3,"['Leeuwentemmer Roy van Siegfried &amp; Roy overleden aan corona']['Video en updateLeeuwentemmer Roy Horn, bekend van het wereldberoemde Duitse duo Siegfried &amp; Roy, is op 75-jarige leeftijd overleden als gevolg van het ...']"
4,['Corona-update | Woede bij sportschooleigenaren en in dit verpleeghuis mogen bewoners weer bezoek ontvangen']['VIDEODe nieuwsberichten over de coronacrisis volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Zo ben ...']
5,"['Corona-uitbraak bij nog twee nertsenbedrijven']['Op nog eens twee nertsenhouderijen net over de provinciegrens met Brabant is het coronavirus aangetroffen, meldt landbouwminister Carola Schouten.']"
6,"['Er sterven plots veel mezen, maar niet aan corona']['In Nederland zijn de afgelopen maanden veel pimpelmezen en koolmezen ziek geworden en gestorven. Sommigen hadden mogelijk een longontsteking, maar ...']"
7,['Akkoord over gebruik noodfonds voor medische kosten corona']['Er staat een pot met 240 miljard euro klaar voor de eurolanden om de medische kosten van de coronacrisis te kunnen betalen. De ministers van Financiën zijn ...']
8,"['Corona-uitbraak in azc Sneek: 22 bewoners besmet, deuren op slot']['Zeker 22 bewoners van het asielzoekerscentrum in Sneek zijn besmet met het coronavirus. De deuren van het azc zijn daarom per direct gesloten, bewoners ...']"
9,['Opnieuw Haarlemmermeerder overleden aan gevolgen corona']['[HAARLEMMERMEER] Sinds onze laatste update afgelopen woensdag is er één patiënt uit Haarlemmermeer overleden aan de gevolgen van corona. Sinds de ...']
10,['[Samen tijdens corona] \'Zonder corona had ik geen taalmaatje gehad\'']['[AMERSFOORT] Wat als je Nederlands aan het leren bent en door de coronacrisis niet meer naar school kunt en de contacten én de persoonlijke begeleiding ...']
11,['750 miljoen euro extra corona-overbruggingskrediet gericht op kleine bedrijven']['Nieuwsbericht | 08-05-2020 | 09:00. De Nederlandse staat maakt 750 miljoen euro extra aan overbruggingskredieten mogelijk voor ondernemingen met een ...']
