,0
0,"Fewer than 1,000 coronavirus patients in IC, but 'we are not there yet' says Rutte"
1,"More help for start-ups, self-employed"
2,Budget deficit up to 12% of GDP: Hoekstra
3,Coronavirus deaths continue to decline
4,KNVB to determine European tickets
5,Staycations likely to be popular
6,Study of mother's milk against corona
7,Supermarkets take on more staff
8,King's Day from your couch
9,
10,"Fewer than 1,000 coronavirus patients in IC, but 'we are not there yet' says Rutte"
11,"Many sex workers excluded from coronavirus support, MPs call for action"
12,Ministers announce more help for start-ups and the self-employed
13,Coronavirus will drive Dutch budget deficit up to 12% of GDP: Hoekstra
14,More statistics show Dutch are getting coronavirus under control
15,Dutch football association meets to decide European tickets
16,"Holiday parks, campsites are expecting last-minute surge in summer bookings"
17,Study investigates if mother's milk could protect against the coronavirus
18,Supermarkets take on more staff as home deliveries soar
19,King's Day from your couch - our guide to Woningsdag
20,Air France-KLM boss confirms he won't take a bonus this year
21,"Hospital admissions, deaths show steady downward trend: RIVM"
22,"Prisoners brand protection 'a joke', disabled are 'forgotten group'"
23,Mayors ask Muslims to eat and pray at home during Ramadan
24,"Some hope for hairdressers, but cafes will remain closed: prime minister"
25,Dutch relax rules for help to pay salaries to include more companies
26,"Fewer hospital admissions, deaths in latest coronavirus update"
27,Dutch cabinet faces demands for tougher conditions on corporate bail-outs
28,KNVB to notify UEFA of plans to abandon football season
29,Mixed reactions as Dutch open schools but extend event ban to September
