,0
0,"['Global report: Trump says Covid-19 will \'go away without vaccine\', expects US death toll to top 95,000']"
1,['Front-Runners Emerge in the Race for a Covid-19 Vaccine']
2,['Coronavirus: Compulsory vaccines in the UK and other rumours fact-checked']
3,"['Republicans stall on next coronavirus relief bill, United Airlines halts $2.25 billion bond offering']"
4,"['\'Finally, a virus got me.\' Scientist who fought Ebola and HIV reflects on facing death from COVID-19']"
5,['FDA would consider releasing an unapproved coronavirus vaccine']
6,['What We Know About Coronavirus Mutations : Goats and Soda']
7,['Kizzmekia Corbett spent her life preparing for this moment. Can she create the vaccine to end a pandemic?']
8,['Lead scientist reveals when vaccine may be ready']
9,['San Francisco targets May 18 for some businesses to resume as California unveils reopening guidelines']
10,['When Will a Coronavirus Vaccine Be Ready Or Herd Immunity Hit?']
11,['Glass vial shortage could stop global rollout of coronavirus vaccine - Business Insider']
12,"['Coronavirus could be sexually transmitted by recovering patients, new research shows']"
13,['What we need to know about a coronavirus vaccine']
14,['Observational Study of Hydroxychloroquine in Hospitalized Patients with Covid-19']
15,"['Pfizer to outsource some drug production, focus on coronavirus vaccine']"
16,['Coronavirus live news: IMF warns of further drop in global growth']
17,"['If 80% of Americans Wore Masks, COVID-19 Infections Would Plummet, New Study Says']"
18,['This Seattle man peddled a coronavirus \'vaccine.\' He says he\'s injected himself and others']
19,"['Roy Horn, part of iconic magician duo, dies with coronavirus; Pence staffer tests positive']"
20,['Poll: 1 in 4 Americans Say They Will Not Get a Coronavirus Vaccine']
21,"['A majority of vaccine skeptics plan to refuse a COVID-19 vaccine, a study suggests, and that could be a big problem']"
22,['Drug inspired by an old treatment could be the \'next big thing for Covid-19\'']
23,['Tonix Pharmaceuticals licences three Covid-19 vaccine candidates']
24,['Anti-vaccination leaders seize on coronavirus to push resistance to inoculation']
25,"['To find a coronavirus vaccine, can we ethically infect people with a disease with no cure?']"
26,['Fauci singles out Moderna’s coronavirus vaccine as reason for optimism']
27,"['Why a coronavirus vaccine takes so long, and some possible shortcuts']"
28,['Hong Kong study finds drug combination nearly twice as fast at suppressing virus']
29,"['As \'#Plandemic\' goes viral, those targeted by discredited scientist\'s crusade warn of \'dangerous\' claims']"
30,"['Unproven herbal remedy against COVID-19 could fuel drug-resistant malaria, scientists warn']"
31,['This Is the Future of the Pandemic']
32,['Researchers plan coronavirus vaccine trials in Savannah. Here\'s how you can help find a cure']
33,['Health officials give 10 reasons to definitely not have a \'COVID-19 party\'']
34,['Chinese scientists identify two antibodies for potential coronavirus drug']
35,['A Polio Vaccine That Hasn’t Been Used in the U.S. for Two Decades Might Protect Against Coronavirus [Video]']
36,['When did COVID-19 get to MN? U of M research hopes to find out']
37,[]
