,0
0,['Trump suggests injecting disinfectant into the body to treat coronavirus']
1,['Trump’s Idea to Disinfect Lungs Leaves Medical Experts Aghast']
2,['Dozens of medical workers have been attacked in Mexico amid coronavirus fears']
3,['Asia stocks decline as hopes of coronavirus treatment reportedly take a hit']
4,['Unproven Coronavirus Therapy Proves Cash Cow for Shadow Pharmacies']
5,['Lysol maker warns it\'s not safe to treat coronavirus with disinfectant']
6,['Coronavirus pandemic in the US: Live updates']
7,['Texas girl who sewed 100 masks for health care workers dies in ATV crash']
8,['Health care workers cheer cancer survivor\'s recovery from coronavirus']
9,"['Live updates: U.S. coronavirus toll tops 50,000; FDA issues hydroxychloroquine warning, citing serious effects, including death']"
10,['The Coronavirus Shows \'Essential Workers\' Aren\'t Fairly Treated']
11,['Dow Futures Edge Higher Amid Gilead Coronavirus Drug Report']
12,"['Medical staff are heroes in most countries. Here, they\'re being attacked']"
13,['Coronavirus live updates: Maryland agency receives more than 100 disinfectant use calls']
14,['We went inside the GM plant making coronavirus face masks. Here\'s what it looked like']
15,['Florida coronavirus patient goes home after plasma therapy']
16,['India Under Coronavirus Lockdown']
17,"['Remarks by President Trump, Vice President Pence, and Members of the Coronavirus Task Force in Press Briefing']"
18,"['CNBC After Hours: Gilead\'s coronavirus treatment hits a snag, and how big companies got millions meant for small businesses']"
19,['The Infection That’s Silently Killing Coronavirus Patients']
20,['Alleged fraudulent COVID-19 treatments spark FBI raid of Shelby Twp medical spa']
21,"['New York Put Recovering Virus Patients in Hotels. Soon, 4 Were Dead.']"
22,"['Coronavirus: 10 dead at Redwood City assisted living center, while thousands test positive at facilities across the state']"
23,['Doctor who survived Ebola: \'Well-done scientific studies\' needed to find coronavirus treatments']
24,"['Coronavirus Health Scams on Treatment, Prevention and More | US News']"
25,['Canada: 1 million respirators acquired from China unfit for coronavirus fight']
26,"['US coronavirus death toll exceeds 50,000: Live updates']"
27,['Hundreds of doctors in Bangladesh infected with coronavirus']
28,['Coronavirus Vaccine Update as 70 Potential Treatments Being Rapidly Developed Across the Globe']
29,"['Trump signs $484 billion coronavirus relief bill to boost small business, hospitals and testing']"
30,['DOJ Clears U.S. Drug Companies to Distribute Hydroxychloroquine to Coronavirus Patients']
31,"['Businesses fear lawsuits amid coronavirus reopening, US Chamber chief says']"
32,"['Meet Violet, the Robot That Can Kill the COVID-19 Virus']"
33,"['Now Playing On Broadway: Uncertainty, Unemployment And Displays Of Unity']"
34,"['Trump Muses About Light as Remedy, but Also Disinfectant, Which Is Dangerous', 'Media erupt over Trump comments on disinfectant and sunlight to cure coronavirus: Here\'s what he said', 'Trump suggests \'injection\' of disinfectant to beat coronavirus and \'clean\' the lungs', 'Don’t Inject Disinfectants!', 'Donald Trump\'s prescription for coronavirus: quite literally toxic']"
35,"['Global stocks falter as investors lose faith in potential coronavirus treatment', 'Gilead disputes report that its coronavirus drug failed in China trial', 'Mistaken disclosure of remdesivir failure surprises Taiwan: CECC', 'Baird Analyst Says \'Don\'t Give Up\' Yet On Gilead\'s Remdesivir']"
36,"['Coronavirus Live Updates: Navy Recommends Reinstating Captain; Georgia Businesses Reopen', 'Second US Navy warship hit by major coronavirus outbreak', 'USS Theodore Roosevelt\'s entire crew has been tested for coronavirus; over 800 positive, officials say', 'The Navy isn\'t ready to stop killing its sailors yet', '840 aircraft carrier sailors test positive for COVID-19 | Guam News']"
