,0
0,['LIVEBLOG | Het laatste nieuws over het coronavirus in']['Liveblog. De intelligente lockdown blijft tot eind mei grotendeels intact om verspreiding van het nieuwe coronavirus in te dammen.']
1,['Onderzoek naar corona bij katten van zorgmedewerkers met covid-19']['De faculteit dierengeneeskunde van de Universiteit Utrecht start binnenkort een onderzoek naar de gevoeligheid van katten voor het coronavirus. Aan een ...']
2,['Grootschalige Nederlandse studie moet helpen corona in verpleeghuizen in te dammen']['Een grootschalig onderzoek moet antwoord geven op een van de prangendste vragen van de coronapandemie: hoe kunnen verpleeghuizen de razendsnelle ...']
3,"['Na corona en verlies van broer is Bram (31) eindelijk weer thuis. \'Een grote horrorfilm\'']['Hij kreeg corona, moest behandeld worden op de intensive care net als zijn jongere broer, kreeg daarna een klaplong en miste vervolgens de uitvaart van zijn ...']"
4,['Australië en China kibbelen over corona-onderzoek | Buitenland']['Australië riep eerder deze maand op tot een onderzoek naar hoe is omgegaan met de uitbraak van het virus. Dat dook eind vorig jaar op in China en ...']
5,"['Protest laait voor het eerst sinds corona-uitbraak weer op in Hongkong']['Ondanks het verbod op de meeste bijeenkomsten vanwege het coronavirus, hebben zo\'n driehonderd betogers in Hongkong zondag gedemonstreerd voor ...']"
6,['Onderzoek Erasmus MC bevestigt: corona via lucht overdraagbaar']['Onderzoekers van het Erasmus MC in Rotterdam hebben met een onderzoek met fretten wetenschappelijk aangetoond dat het Covid-19-virus door de lucht ...']
7,['Onderzoek: 2 miljoen Nederlanders steken kop in zand over corona']['Een flink aantal Nederlanders volgt het coronanieuws amper en praat zelden of niet over het virus. Vooral onder jongeren zijn relatief veel \'coronablockers\'.']
8,"['Gered van corona, maar intussen wacht Afrikanen de hongerdood']['Afrikaanse landen verkeren in een spagaat. De lockdown beschermt mensen tegen het coronavirus, maar ze kunnen sterven van de honger. \'Corona is nie...']"
9,['Dierziekte-expert waarschuwt: \'Corona niet het laatste virus dat de mens bedreigt\'']['HENGELO/ ROME - Het coronavirus COVID-19 is niet de laatste dierziekte die de mens bedreigt. Dat zegt Henk Jan Ormel van de wereld voedsel- en ...']
10,"['De impact van corona op de rechtspraak: \'Het gaat er definitief anders uitzien\'']['De rechtspraak lag vrijwel stil door corona, en moet nu flinke achterstanden inlopen. Rechtbankpresident Christa Wiertz: \'Het gaat er definitief ...']"
11,['Australische corona-app miljoen keer gedownload • Ook Anouk terug uit Marokko']['De verwachte repatriëringsvlucht uit Marokko is vannacht geland op Schiphol. Aan boord waren 300 Nederlanders die wekenlang niet naar huis konden.']
12,"['Corona-update | Burgemeesters balen van drukte, rustpunten mogen morgen weer open']['De nieuwsberichten over de coronacrisis volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Zo ben je snel ...']"
13,"['Stockholm sluit aantal restaurants om corona-overtredingen | Buitenland']['De sluitingen hebben vooral te maken met de drukte in de zaken. Stockholm is in Zweden het zwaarst getroffen door de uitbraak van het coronavirus, die ...']"
14,"['Corona in de psychiatrie: \'Waarom heb je dat masker op, heb ik iets verkeerd gedaan?\'']['Voor veel mensen is de coronacrisis iets ongrijpbaars. Dat is voor patiënten die ernstige psychiatrische stoornissen hebben en zelf besmet zijn met het virus al ...']"
15,"['08:00 Riante kasbuffers beschermen Big Tech tegen corona']['Ze kunnen tegen een stootje, maar zelfs Big Tech is niet immuun voor het coronavirus. De crisis raakt de omzet en winst van Alphabet, Facebook en Apple.']"
16,"['Corona-tijd is uitjes-tijd voor de dieren in Beilen']['Lente betekent jonge geitjes op de kinderboerderij, ook in coronatijd. Wennen aan publiek is nu lastig, omdat het gros van de boerderijen dicht is. Uitzondering ...']"
17,['Miljoen Australiërs downloaden nieuwe corona-app | Buitenland']['Meer dan een miljoen Australiërs hebben de nieuwe corona-app van hun overheid gedownload. Minister van Volksgezondheid Greg Hunt noemde dat ...']
18,['Dit is waarom er nog geen vaccin is tegen corona [EXPLAINER]']['Het coronavirus is inmiddels een wereldwijde pandemie. Maar waarom duurt het zo lang voordat er een vaccin is tegen het virus? Onderzoekscollectief Spot On ...']
19,"['Is de kans op een besmetting met corona kleiner als je door je neus ademt?']['Niks is nog zeker, benadrukt klinisch viroloog Louis Kroes van het LUMC. \'Er zijn nog geen data beschikbaar en nu een studie opzetten zou nogal wat ethische ...']"
20,['Burgemeesters geschrokken van corona bij nertsenbedrijven in Brabant']['De burgemeesters van Gemert-Bakel en Laarbeek zijn erg geschrokken dat bij twee nertsenhouderijen in hun gemeenten corona is geconstateerd. In een straal ...']
21,"['Duitsland ziet af van corona-app met centrale data-opslag']['Duitsland ontwikkelt geen corona-app meer die locatiegegevens bewaart op een centrale server, waarover autoriteiten de controle hebben. Het land sluit zich ...']"
22,"['Nederlandse organisatie achter corona-app OLVG maakt app die Kenia en Ghana moet beschermen']['Het Nederlandse Luscii werkte de afgelopen weken aan de CovidConnect, een app die de verspreiding van het coronavirus in Afrikaanse landen moet teg...']"
