,0
0,Covid-19 deaths and infections fall to lowest levels for eight weeks
1,Universities plan next semester online
2,Fitness clubs threaten corona court action
3,EU countries cash in on corona fines
4,Private equity is looking for deals: FD
5,Official death toll rises by 18
6,NL ready for new phase in corona campaign
7,Amsterdam aims for 'right' tourists
8,Van Gogh home loans offered by museum
9,
10,Covid-19 deaths and infections fall to lowest levels for eight weeks
11,Unions press cabinet not to scrap fine for laying off furloughed workers
12,Universities plan to carry on teaching online until February 2021
13,Fitness clubs threaten court action over order to shut until September 1
14,"Relatively few corona fines issued, police prefer ticking-off to ticketing"
15,"Private equity is looking for deals, but takeover targets are hard to find"
16,Dutch coronavirus official death toll rises by just 18
17,The Netherlands readies to enter new phase in coronavirus campaign
18,New future for Amsterdam post-corona tourism with 'right' visitors
19,Paintings to the people: Van Gogh museum offers 3D replicas of masterpieces on loan
20,"Dutch official coronavirus death toll rises by 63 to 5,422"
21,Coronavirus in the Netherlands: what you need to know
22,Mother's Day provides boost to hard hit flower industry
23,Coronavirus found on two more mink farms in Noord Brabant
24,"Coronavirus hits refugee centre in Friesland, 22 positive tests so far"
25,Easing the Dutch coronavirus rules: what the experts say
26,Almost 50% of Dutch companies say they can't survive six months of crisis
27,Culture sector labels new rules 'unclear and impractical': Volkskrant
28,"Hidden coronavirus death rate is shrinking, RIVM figures show"
29,Holiday rental site Booking.com posts $699m Q1 loss
