,0
0,"['No Testing, No Treatment, No Herd Immunity, No Easy Way Out']"
1,"['The market is rebounding on hope for a treatment, new index tracking coronavirus-drug makers shows']"
2,['Live Updates: Global Coronavirus Pandemic']
3,['Arizona GOP chair encourages anti-stay-at-home protesters to dress like health care workers']
4,['Closely watched arthritis drug disappoints as a Covid-19 treatment']
5,"['Coronavirus research: flaws in trials for remdesivir, chloroquine - Business Insider']"
6,"['Detroit health care worker dies after being denied coronavirus test 4 times, daughter says']"
7,['Cuomo Calls Subway Cars Filled With Homeless People ‘Disgusting’: Live Updates']
8,['\'Science will come through\': Doctor who pioneered HIV treatment discusses potential Covid-19 drugs']
9,['Scientists trial female sex hormone for Covid-19 patients']
10,['What you should know about experimental therapies for coronavirus']
11,['Kelli Ward Urged Anti-Lockdown Protesters to Dress as Health-Care Workers']
12,['Healthcare workers are still coming under attack during the coronavirus pandemic']
13,"['Coronavirus updates: Texas to lift restrictions this week, SF extends shelter in place through May']"
14,['Trump is driving Birx to a tough spot. It\'s about to get even tougher.']
15,['Utahns treating coronavirus patients in New York tell about the moments that have stuck with them']
16,"['Fired in a Pandemic ‘Because We Tried to Start a Union,’ Workers Say']"
17,['Leaked White House emails reveal behind-the-scenes battle over chloroquine in coronavirus response']
18,['Coronavirus live updates: US surpasses 1 million cases; warnings of a \'meat shortage\'; Blue Angels honor health workers']
19,[]
20,"['Argentina\'s coronavirus patients, medical workers harassed']"
21,['Some scientists are using sewage to measure the prevalence of coronavirus in their communities']
22,['Federal court blocks Texas health center from touting \'ozone therapy\' as coronavirus treatment']
23,['Covid-19 is ravaging one of the country’s wealthiest black counties']
24,['The pandemic is taking an outsized toll on Filipino American nurses']
25,['Coronavirus News: NJ health care workers win rapper Pitbull\'s dance contest']
26,"['Young and middle-aged people, barely sick with covid-19, are dying of strokes']"
27,"['Her cancer diagnosis came as the pandemic struck. Now, her treatment is on hold.']"
28,['Coronavirus: UK failed to stockpile crucial PPE']
29,['Dozens of medical workers have been attacked in Mexico amid coronavirus fears']
30,['Even nation\'s largest health systems laying off health care workers amid COVID pandemic']
31,[]
32,"['CNBC After Hours: Gilead\'s coronavirus treatment hits a snag, and how big companies got millions meant for small businesses']"
33,['Health Care Workers Fighting Pandemic Worry For Their Own Mental Health : Shots - Health News']
34,"['Top E.R. Doctor Who Treated Coronavirus Patients Dies by Suicide', 'An ER doctor who continued to treat patients after she recovered from Covid-19 has died by suicide', 'Top Manhattan ER doc commits suicide, shaken by coronavirus onslaught', 'NYC doctor takes her own life after weeks on the frontlines of the pandemic']"
35,"['Dr. Anthony Fauci warns US could \'be in for a bad fall\' if coronavirus treatments don\'t work', 'Fauci says coronavirus-like outbreak is \'what keeps me up at night\'']"
