,0
0,"['Ondanks corona \'eerder minder doden dan normaal in India\'']['Zo\'n 1,3 miljard mensen en officieel minder doden dan in menig Europees land. India lijkt met 37.000 vastgestelde besmettingen en zo\'n 1200 doden licht ...']"
1,"['\'Zomerse temperaturen maken geen einde aan corona\' | Binnenland']['De warmere Nederlandse zomermaanden maken geen einde aan het coronavirus, zo geven onderzoekers van het RIVM en de TU/e aan.']"
2,"['Conclusie na steekproef: zo\'n kwart miljoen Moskovieten besmet met corona']['Zo\'n 2 procent van de bevolking van Moskou is besmet met het coronavirus, zo maakte burgemeester Sergei Sobyanin zaterdag bekend volgens het Russische ...']"
3,"['Hassan verloor zijn vader, moeder en oom aan corona: \'Begrijp er niets van\'']['Hoe kan corona binnen één familie zo hard toeslaan? De Utrechtse Hassan snapt er niets van en wíl er ook nog even niets van snappen. Binnen 9 dagen ...']"
4,"['Echtpaar neemt afscheid van kinderen en elkaar, maar geneest van corona: \'Een godswonder\'']['Ze hadden al afscheid genomen. Van elkaar én van hun zes kinderen. Maar het Ridderkerkse echtpaar Cor (73) en Leni Verhoeven (71) genas van corona.']"
5,['Artsen temperen alarmerende berichten over \'mysterieuze\' kinderziekte door corona']['Nederlandse artsen temperen de alarmerende berichten uit het buitenland over een mysterieus ziektebeeld bij kinderen dat in verband zou staan met h...']
6,['Weer aanwijzingen dat BMR-vaccin beschermt tegen corona']['Opnieuw hebben wetenschappers aanwijzingen gevonden dat bestaande vaccins kunnen helpen de ernst van covid-19 tegen te gaan. Dat zou kunnen verklar.']
7,"['Corona-afdeling in Boxtel dicht: merendeel van 36 patiënten is hersteld, 11 overleden']['BOXTEL - Het lijkt goed nieuws: de speciale corona-afdeling in zorgcentrum Liduina in Boxtel is weer gesloten. Omdat er steeds minder nieuwe patiënten ...']"
8,"['Drukte op zaterdagmiddag in centrum Nijmegen, alsof er geen corona bestaat']['NIJMEGEN - Alsof er geen gevaar en zeker geen angst meer is voor verspreiding van het coronavirus, zo druk was het zaterdagmiddag in de binnenstad van ...']"
9,"['Nieuwe coronasneltest vertelt je binnen een uur of je corona hebt, maar het zijn er niet veel']['Sinds donderdag is het in sommige Nederlandse ziekenhuizen mogelijk om een coronasneltest te doen. Binnen een uur weten patiënten of ze het virus hebben.']"
10,"['Zuurstofmeters niet aan te slepen door corona: \'Het loopt storm\'']['De vraag naar saturatiemeters, apparaatjes waarmee je het zuurstofgehalte in je bloed kunt meten, is sinds de corona-uitbraak enorm gestegen. Ook longartsen ...']"
11,['Aantal ziekenhuisopnames wegens corona vlakt verder af']['De curve van het aantal ziekenhuisopnames vlakt verder af. GGD Limburg-Noord meldt geen nieuwe ziekenhuisopnames van het coronavirus het afgelopen ...']
12,['2 procent van inwoners Moskou besmet met corona']['Ongeveer 2 procent van de inwoners van Moskou is besmet met het coronavirus. Dat zijn ruim 250.000 mensen. Dat heeft de burgemeester van de Russische ...']
13,['Corona in Friesland - 2 mei | Bijna 5000 Nederlanders overleden aan virus en schooldirecteur vreest voor heropening']['Het is de bedoeling dat kinderen na de meivakantie weer naar school gaan. Schooldirecteur Heidi Rubingh is er niet gerust op. Een overzicht van de ...']
14,['Corona-update | Binnen een uur weten of je corona hebt en vuilniszakkenfabriek produceert plastic schorten']['VideoDe nieuwsberichten over de coronacrisis volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Zo ben je ...']
15,['EU-waakhond kijkt extra snel naar goedkeuring remdesivir tegen corona']['Het Europees Geneesmiddelenbureau (EMA) is donderdag een versnelde evaluatie gestart van onderzoeksgegevens van het middel remdesivir.']
16,"['Onhoudbare schulden dreigen door corona']['Door de coronacrisis dreigt de schuld in sommige eurolanden zo hoog op te lopen, dat een nieuwe crisis op de loer ligt. „Zodra de situatie rond corona weer ...']"
17,"['India stelt corona-app die contacten traceert verplicht voor alle werknemers']['India stelt een door de overheid ontwikkelde corona-app verplicht voor alle werknemers. De app gebruikt bluetooth om contacten te traceren, gps om clusters ...']"
18,"['Een vrijwillige corona-app? Dat werkt eigenlijk nergens']['Overal ter wereld blijkt: vrijwillige corona-apps van het soort waar Nederland nu ook aan werkt, worden te weinig geïnstalleerd om effectief te zij...']"
19,['11 bewoners verpleeghuis De Diem overleden aan corona']['Elf bewoners van verpleeghuis De Diem in het centrum van Diemen zijn overleden aan het coronavirus.']
20,"['Wat is de relatie tussen luchtvervuiling en corona?']['Als je in een omgeving woont waar de lucht vervuild is, heb je dan een grotere kans om (heel) ziek te worden door het coronavirus? Zoals in de stad of naast ...']"
21,"['\'Een corona-app kan onze vrijheid onder druk zetten\'']['Niet alleen privacy, maar ook de mensenrechten staan onder druk met de corona-app, schrijven Tasniem Anwar en Berna Keskindemir. Maatschappelijke o...']"
22,"['Het verhaal van journalist Willem Dekker, die met corona in het ziekenhuis belandde: \'Ik durf niet te sterven\'']['Willem Dekker, verslaggever bij het Dagblad van het Noorden, werd met corona opgenomen in het Wilhelmina Ziekenhuis in Assen. Hij is herstellende en ...']"
23,['Meer corona-opnames in Zuid-Limburg na hervatting reguliere zorg']['Met het langzaam hervatten van de reguliere zorg groeit in ieder geval in de Zuid-Limburgse ziekenhuizen ook het aantal opgenomen coronapatiënten weer.']
24,"['Europa: we willen 7.5 miljard euro tegen corona ophalen']['In een unieke oproep om 7.5 miljard euro in te zamelen kondigen zes Europese leiders een online donorconferentie aan, die maandag 4 mei gehouden wo...']"
25,['Beau van Erven Dorens vindt dat er nog veel over corona te vertellen is']['Beau van Erven Dorens pakt maandagavond weer zijn talkshow op RTL 4 op. Veel onderwerpen zijn dit seizoen coronagerelateerd. Volgens de presentator is ...']
26,"['Gebieden met veel luchtverontreiniging zwaarder getroffen door corona']['Noord-Italië, New York, Wuhan en Oost-Brabant: allemaal gebieden waar het coronavirus hard toesloeg, en die ook gekenmerkt worden door een relatief ...']"
27,"['Bmr-vaccinatie helpt mogelijk tegen corona-infectie']['Door de prik tegen bof, mazelen en rode hond hebben kinderen mogelijk minder last van een infectie met het coronavirus, zeggen onderzoekers. Er is wel...']"
28,"['FSP over Friesland na corona: \'Ook hier gaat het vooral over groei, groei, groei\'']['Gaat de wereld veranderen door de corona-crisis? Ingrid van de Vegte: ,,Eigenlijk zou je mogen verwachten dat onze leiders straks het grote verhaal gaan ...']"
29,"['Åle Hoekema uit Borne is tegelijk negatief als positief getest op corona: \'Hier moest ik het mee doen\'']['Coronatesten die op de markt worden aangeboden, zijn volgens de GGD Twente onbetrouwbaar. Åle Hoekema uit Borne denkt er anders over. Volgens een ...']"
30,['Hoe leg je corona uit aan je kind? Huisarts schrijft kinderboek']['HOEVEN/WILLEMSTAD - Jonge kinderen uitleggen wat het coronavirus inhoudt? Dat is niet altijd even gemakkelijk. Daarom besloot de Willemstadse huisarts ...']
31,"['Illegaal en door corona geen werk: \'Hoe komt mijn familie aan geld?\'']['Betonvlechters, schoonmakers, afwassers en kindermeisjes. Het zijn een aantal beroepen waarin mensen die zonder geldige papieren in ons land verblijven, ...']"
32,['Opinie: De herontdekking van de stilte in tijden van Corona - Opinie']['Covid-19 heeft ons gedwongen onze verlangens aan te passen aan wat mogelijk is. Tijd genoeg om na te denken over het leven dat we tot nog toe leidden.']
33,"['\'De vraag is niet of er na Q-koorts en corona weer een nieuwe ziekte komt, de vraag is wanneer\'']['De overheid gaat voortvarend te werk, nu mensen elkaar besmetten tijdens de coronacrisis. Veel voortvarender dan tijdens de Q-koortsepidemie, toen mensen ...']"
34,"['In Libanon hebben de armen wel iets anders aan hun hoofd dan corona']['In Tripoli, de straatarme tweede stad van Libanon, hebben de mensen wel andere zorgen aan hun hoofd dan corona. Wie genoeg geld heeft om zich druk ...']"
35,['Warenhuis Groningen ontpopt zich door corona van etalage naar webshop voor de hele binnenstad']['Iedere crisis biedt ruimte voor nieuwe mogelijkheden. Warenhuis Groningen was bedoeld als online etalage voor de Groninger binnenstad. Onder druk van ...']
36,"['Coronavirus: Aantal doden door corona stijgt met 94 tot bijna 5000']['Door de uitbraak van het coronavirus ligt het publieke leven voor een groot deel stil. Tienduizenden cafés, sportclubs en andere voorzieningen zijn tot zeker 20 ...']"
37,"['Acht nieuwe doden door corona in de regio, met name in de Achterhoek']['NIJMEGEN - Het aantal mensen dat in het verspreidingsgebied van De Gelderlander aan de gevolgen van het coronavirus is overleden, is sinds vrijdag ...']"
38,['Kris Kross Amsterdam gegijzeld door corona']['Het had allemaal zo mooi moeten zijn. Van het ene bevrijdingsfestival naar het andere hoppen om verhalen uit het verleden te delen. Sander en Jordy Huisman ...']
39,"['Strijden tegen corona op de ic in Tiel: \'Onzichtbare vijand die rare dingen doet\'']['REPORTAGEOp de ic en afdeling AB3 van Ziekenhuis Rivierenland in Tiel strijden artsen, verpleegkundigen en patiënten dagelijks tegen het coronavirus.']"
40,['Ondanks corona nergens in Nederland zo druk op de weg als in Overijssel']['Nergens in Nederland bleef het sinds de coronacrisis zo druk op de wegen als in Overijssel. De verkeersdrukte was afgelopen week bijna terug op het oude ...']
