,0
0,"['Corona zit ook jihadist dwars, ziet de NCTV']['De maatregelen rond het coronavirus \'belemmeren\' jihadisten zodanig dat de kans op aanslagen wereldwijd en in Nederland zijn verminderd.']"
1,['Gedragswetenschappers berekenen je corona-afdruk | De Volkskrant']['Een internationale groep gedragswetenschappers gaat meten hoe burgers de maatregelen tegen de verspreiding van het coronavirus ervaren. Donderdag p...']
2,"['Heb ik corona gehad? Veel thuistests zijn niet betrouwbaar genoeg']['Na een neusverkoudheid, droge hoest of koorts ben je misschien wel benieuwd of je besmet bent geweest met het coronavirus. Via internet zijn allerlei zelftests ...']"
3,['Privacywaakhond is kritisch over data-plan tegen corona']['De Autoriteit Persoonsgegevens is kritisch over een idee van minister De Jonge. Die schrijft in een brief aan de Tweede Kamer dat data van telecomproviders ...']
4,['Opnieuw geen nieuwe sterfgevallen door corona in Twente']['ENSCHEDE - Er zijn de afgelopen 24 uur in Twente geen meldingen gedaan van sterfgevallen door corona. De teller staat sinds dinsdag op 111 mensen die ...']
5,"['Longfonds komt met platform voor onderzoek langetermijngevolgen corona']['Op het moment is nog veel onduidelijk over de langetermijngevolgen die het coronavirus heeft voor de longen. Om daar een beter beeld van te krijgen, lanceren ...']"
6,['Corona: één nieuwe Drentse ziekenhuisopname']['De afgelopen 24 uur is één nieuwe Drentse coronapatiënt opgenomen in het ziekenhuis. Dat blijkt uit de dagelijkse update van het Rijksinstituut voor ...']
7,['GGD\'en Limburg melden zes nieuwe overlijdens door corona']['Afgelopen etmaal zijn zes Limburgse overleden als gevolg van besmetting met corona. Dat melden de beide GGD\'en. Het totaal aantal overlijdens komt voor ...']
8,['Corona-onderzoek: vooral afstand houden knap lastig']['Sinds half maart zijn verschillende maatregelen van kracht om de corona-pandemie in Nederland zo goed mogelijk in te dammen. De persoonlijke ...']
9,"['Spelcomputers door corona niet aan te slepen; prijzen schieten omhoog']['Niet alleen wc-papier en tondeuses waren niet aan te slepen vanwege de corona-uitbraak, ook de Nintendo Switch is al weken moeilijk te verkrijgen.']"
10,['Coronaprentenboek: Job en Juultje maken corona begrijpelijk']['In het prentenboek Job en Juultje en de onzichtbare druppeltjes leggen schrijver Silvia Woudberg en illustrator Marjolein de Jong aan jonge kinderen uit wat het ...']
11,['Ook zwemseizoen in buitenplassen in teken van corona-regels']['Het zwemseizoen is op vrijdag 1 mei officieel begonnen voor zwemplassen in oppervlaktewateren. Door de corona-maatregelen is dat allemaal anders. De o...']
12,"['Voor IS is corona een door Allah gegeven kans']['Islamitische Staat: Terwijl de Iraakse autoriteiten met het coronavirus worstelen, wint een oude vijand nieuw terrein. Islamitische Staat maakt dankbaar…']"
13,"['\'Corona werpt mensen met beperking weer terug\' | Corona in Arnhem en omstreken']['ARNHEM - Als Arnhem de anderhalvemetersamenleving vorm geeft, moet de stad vooral ook denken aan de mensen met een beperking. Zij zijn door de ...']"
14,['Heb ik corona gehad? Vughts bedrijf opent \'teststraat\' bij Van der Valk']['VUGHT - Ondernemer Rob van der Ven uit Vught kent de kritiek op de COVID-19 sneltesten die commerciële bedrijven gebruiken om aan te tonen of iemand ...']
15,['Jos (62) lag een maand in coma door corona: \'Duizenden hebben voor hem gebeden\'']['Zes weken op de intensive care. Vier weken in coma. Het zag er beroerd uit voor coronapatiënt Jos Klaassen uit Eindhoven. Nu krabbelt hij op. Een wonder?']
16,['Twents bedrijf wil corona te lijf met uv-licht: \'Ideale oplossing\'']['5 vragenHet coronavirus indammen met uv-straling: een Twents bedrijf zegt het te kunnen. LEDesign uit Hengelo komt deze week met een apparaat dat ...']
17,['Woordvoerder Braziliaanse president Bolsonaro besmet met corona | Buitenland']['De woordvoerder van de Braziliaanse president Jair Bolsonaro is besmet met het coronavirus. Zijn bureau maakte woensdag bekend dat Otavio do Rego ...']
18,['Een andere ondernemer na corona']['Veel ondernemers en zzp\'ers worden hard geraakt door de coronacrisis. Verandert dat hun kijk op het ondernemerschap? Krijgen ze meer oog voor risico\'s?']
19,"['Onderzoek Movir: helft professionals draait door of ziet kleine terugval door corona']['Zelfstandig zakelijk professionals zoals consultants, financieel adviseurs, IT-professionals en marketingspecialisten zijn nog grotendeels optimistisc...']"
20,['Onderzoek: innovatieve creativiteit helpt merken na corona']['Marktonderzoekbureau InSites Consulting heeft met de hulp van zijn creatieve netwerk \'eÿeka\' ideeën voor een nieuwe post-lockdown realiteit uitgetekend.']
21,['Geen nieuwe corona-besmettingen in onze provincie']['Er zijn sinds gisteren geen nieuwe besmettingen met het coronavirus bij gekomen in onze provincie. Dat meldt de GGD.']
22,['Webinar terugkijken: Gevolgen van corona voor het havengebied Zwolle']['Wat betekent de coronacrisis voor Port of Zwolle en de logistieke hotspot rond het havengebied? Kijk het webinar terug dat Nieuwsblad Transport over dit ...']
23,['Chinese medicus die dichtbij corona-doorbraak was vermoord']['Professor Bing Liu was werkzaam aan de faculteit Medicijnen van de Universiteit van Pittsburgh. De 37-jarige medicus uit China deed in de VS onderzoek naar ...']
24,['Corona-akkoord FBO en spelersvakbonden: collectief inleveren']['De werkgeversorganisatie FBO en de spelersvakbonden VVCS en ProProf hebben een akkoord bereikt over een pakket aan noodmaatregelen. Ze adviseren ...']
25,"['Corona verbroedert']['Wat in het pré-coronatijdperk niet leek te lukken, is nu dan toch gelukt: samenwerking tussen de drie Gorinchemse bridgeclubs. Tweemaal per week wordt er ...']"
26,['Geen corona bij nertsen op farm Rosmalen | Coronavirus | bd.nl']['ROSMALEN - In de nertsenfarm Rios Mink in Rosmalen zijn geen dieren besmet met het coronavirus.']
27,"['Corona in Friesland - 7 mei | Evenementenbranche in zak en as, winkels gaan massaal mondkapjes verkopen']['The day after . Het perspectief dat het kabinet biedt kent winnaars en verliezers. De evenementenbranche zit ik zak en as, terwijl winkeliers beginnen met de ...']"
28,['Eigenzinnige corona-aanpak leidt in Stockholm tot \'vorm van groepsimmuniteit\'']['Zweden koos aan het begin van de coronacrisis voor een eigenzinnige aanpak: detailhandel en scholen bleven open. Tegelijkertijd werd erop gerekend dat ...']
29,"['\'Mijn moeder werd maar 58 jaar, maar heeft alles uit haar leven gehaald\'']['In deze serie laten we nabestaanden aan het woord over hun geliefden die zijn overleden door corona. Deze keer een eerbetoon aan Jolande van Hazendonk ...']"
30,"['Oogontsteking, tinteling of \'covid-teen\': dit zijn de zeldzamere symptomen van corona']['Koorts, vermoeidheid, een droge hoest: de belangrijkste en meest courante symptomen van Covid-19 zijn intussen bekend. Maar er zijn ook nog andere ...']"
31,['Zeeuwse lucht juist viezer sinds corona']['De lucht boven Zeeland heeft (nog) niet geprofiteerd van de coronamaatregelen. Dat blijkt uit de meetgegevens van de beide stations van het landelijke ...']
32,"['Verruimde maatregelen corona krijgen nog niet de handen op elkaar bij Patronaat: \'Er is nog te veel onduidelijk\'']['Dat er wat versoepeld wordt is heel prettig, al is het maar zodat je in je privé-leven wat meer bewegingsvrijheid hebt\'\', zegt Patronaat-directeur Jolanda Beyer.']"
33,"['Liveblog corona: reacties op versoepeling maatregelen']['Kappers, musea, horeca, zwembaden, horeca, bedrijven bereiden zich voor op een herstart. Lees hier hoe de reacties zijn en wie zich hoe voorbereid op de ...']"
34,['Corona-update | Bezoek van alpaca\'s in zorgcentrum en makelaars hebben het ondanks crisis ontzettend druk']['VIDEODe nieuwsberichten over de coronacrisis volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Zo ben ...']
35,"['Corona kost AB Inbev 9,3% volume']['BRUSSEL - AB InBev voelt ook duidelijk de negatieve effecten van het coronavirus. \'s Werelds grootste brouwer verkocht in het eerste kwartaal van het ...']"
36,"['Verpleegkundige Mirjam vlogt: ""Moet me laten testen op corona""']['ALKMAAR - Het personeel in de Noord-Hollandse ziekenhuizen werkt harder dan ooit, nu d.']"
37,"['Spelers Eredivisie kwart minder waard sinds corona-uitbraak']['Slecht nieuws voor Nederlandse voetbalclubs, die normaal gesproken veel geld verdienen met transferinkomsten: de waarde van spelers in de Eredivisie is met ...']"
38,['Groene Hart Ziekenhuis doet mee met plasmadonatie in strijd tegen corona']['Voor de behandeling van corona zijn nog geen wetenschappelijk bewezen medicijnen. Wel bestaat er een vermoeden dat de ziekte minder wordt als ...']
39,['Rusland en corona: het slechtste van twee werelden']['Vandaag twintig jaar geleden werd Vladimir Poetin voor het eerst beëdigd als president van Rusland. Normaal gesproken een mooie mijlpaal om te vier...']
40,"['Dit zijn de ergste corona-kapsels | Regio | destentor.nl']['Veel mensen \'gingen kaal\' uit kappersnood, of vroegen familieleden er de schaar of tondeuse in te zetten. Gelukkig kan er vanaf 11 mei weer een model in, bij ...']"
41,['Sinds corona meer vraag naar lokale producten in Rotterdam']['Voedsel: De omzet van Rechtstreex is sinds \'corona\' vier keer zo groot: er blijkt grote behoefte aan voedsel direct van de boer – en dichtbij. „We zijn een…']
42,['Zo gaat Nederland in vijf fases uit de corona-lockdown']['Eerste de contactberoepen en kleine samenscholingen en als allerlaatste de grote evenementen. Zo gaat Nederland in vijf fases weer terug naar normaal.']
43,['Wanneer mag ik naar de bioscoop of het terras op? Vind hier alle antwoorden over corona']['Op deze pagina vind je vragen en antwoorden over Covid-19. De vragen zijn gesteld door onze kijkers en luisteraars en de antwoorden worden gegeven door ...']
44,"['Vooralsnog geen file in de corona-teststraat']['Een gebrek aan testcapaciteit om versoepeling van de coronamaatregelen goed te monitoren? In de teststraat in Houten is daar geen sprake van, ook n...']"
