,0
0,['Meer mensen zonder corona op intensive care dan coronapatiënten']['Op de intensive cares in Nederland liggen 451 mensen met het coronavirus en 462 mensen met andere aandoeningen.']
1,['LIVEBLOG CORONA 12 MEI 2020']['In dit liveblog houdt Binnenlands Bestuur naast de reguliere berichtgeving een chronologisch overzicht bij van het laatste nieuws over het …']
2,['Waarom IJsland een goede plek blijkt te zijn voor corona-onderzoek']['IJsland heeft een aantal natuurlijke voordelen in een pandemie: het is een afgelegen eilandnatie met een beperkt aantal \'toegangspoorten\' en dezelfde ...']
3,"['RIVM: dodental corona met 54 gestegen, 35 nieuwe ziekenhuisopnames | Binnenland']['Het aantal overleden coronapatiënten is met 54 toegenomen. Volgens de officiële registratie van het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) zijn ...']"
4,['Worstelen met anderhalve meter en andere corona-regels']['Corona-regels naleven is nog best moeilijk. Nonchalance en opstandigheid sluipen erin en verslaan soms het gezond verstand.']
5,"['Corona-explosie bij slachterij in Duitse Coesfeld: 254 besmettingen']['COESFELD – Het Duitse Coesfeld, op zo\'n dertig kilometer van Winterswijk, is een pandemie-hotspot geworden na een massale corona-uitbraak in het ...']"
6,['Goesenaar aan corona overleden']['Een inwoner van Goes is gisteren (maandag) aan de gevolgen van corona overleden. Het is de elfde Goesenaar die aan het virus is bezweken en inmiddels ...']
7,['Temperatuurmeting bij de ingang tegen corona - maar wat als je net moest rennen?']['Veel ondernemers willen de temperatuur van hun bezoekers en klanten meten bij de ingang. Zo zouden ze degenen met verhoging kunnen weren om ...']
8,['Angst voor tweede golf corona in China - Buitenland']['In China is de vrees voor een tweede besmettingsgolf van het coronavirus toegenomen nadat in de stad Wuhan nieuwe besmettingen zijn vastgesteld.']
9,['Ondanks versoepeling neemt corona in Denemarken af | Buitenland']['De corona-epidemie in Denemarken blijft ondanks de versoepeling van lockdownmaatregelen in hevigheid afnemen. Overheidsinstituut SSI zegt dat iedere ...']
10,"['Lichte stijging aantal nieuwe corona-opnames in Brabantse ziekenhuizen, aantal patiënten op ic stabiel']['Er zijn maandag zo\'n 75 mensen opgenomen in Brabantse ziekenhuizen met coronaverschijnselen. Dat blijkt uit cijfers van het Regionaal Overleg Acute Zorg ...']"
11,['\'Mijn ouders konden absoluut niet zonder elkaar\'']['In deze serie laten we nabestaanden aan het woord over hun geliefden die zijn overleden door corona. Deze keer een eerbetoon aan Herman (84) en Leen ...']
12,"['Hilversumse Sanna heeft ME: ""Ik zat al in quarantaine voor corona en dat zal ook zo blijven""']['HILVERSUM - Wereldwijd wordt vandaag stilgestaan bij de hersenziekte ME, waaraan alleen al in.']"
13,"['Drie nieuwe doden door corona in regio, één nieuwe ziekenhuisopname']['NIJMEGEN/ ARNHEM - De sterftecijfers in de regio door het coronavirus blijven laag. Ook op dinsdag, de dag dat alle cijfers van het weekend binnen zijn, meldt ...']"
14,"['CORONANIEUWS: minder mensen positief over aanpak van corona-uitbraak']['Basisscholen zijn sinds deze week weer open en kappers mogen de schaar weer zetten in coronakapsel. We krijgen weer wat meer bewegingsruimte, maar het ...']"
15,['AvondGasten: corona in Limburg - corona-adviezen en vastelaovend']['In deze uitzending om 18:00 (met herhalingen om 19:00 en 21:00) is de Limburgse viroloog Marion Koopmans te gast en hebben we het ook over vastelaovend.']
16,['LIVEBLOG: Meer patiënten zonder corona dan mét corona op intensive care']['In dit liveblog melden wij het laatste nieuws rondom het coronavirus.']
17,['Met corona besmette asielzoekers uit Sneek in quarantaine in Zoutkamp']['De met corona besmette bewoners van het asielzoekerscentrum (azc) in Sneek verhuizen zo spoedig mogelijk met hun huisgenoten naar de ...']
18,"['Complete afdeling verpleeghuis Dordrecht test positief op corona, op één bewoner na']['In verpleeghuis Het Parkhuis in Dordrecht zijn op dezelfde afdeling alle bewoners positief getest op het coronavirus. Op één bewoner na. De eerste besmetting ...']"
19,['Strijd tegen corona: kampioen kan morgen de schlemiel zijn']['De zoektocht naar een uitweg uit de coronacrisis kent vele wegen. De kampioen van gisteren kan de schlemiel van vandaag zijn.']
20,"['Door corona schijnt de zon feller, en dat is zeker niet alleen maar goed nieuws']['Heb je het gemerkt? Het lijkt sinds het begin van de coronacrisis steeds zonniger. Er is veel minder luchtvervuiling en daardoor zijn er minder wolken. Ook kan ...']"
21,"['Poetin versoepelt lockdown hoewel corona steeds harder toeslaat in Rusland']['President Poetin heeft het einde aangekondigd van Ruslands strenge lockdown. De beslissing komt onverwacht, omdat de coronacrisis in Rusland steeds...']"
22,"['Louis van Gaal over corona bij Litmanen: \'Heel vervelend\'']['Louis van Gaal kijkt er niet van op dat Jari Litmanen (49) besmet is geweest met het coronavirus. „Hij was als speler al zo\'n brekebeen”, reageert hij. „Maar heel ...']"
23,['Rabobank: \'Corona voor melksector op ongunstig moment\'']['Na enkele jaren van krappe marges waren de gunstige vooruitzichten voor de boerderijmelkprijs voor komende zomer hard nodig. \'De coronacrisis kon niet ...']
24,"['Design tijdens corona Hij die zich aanpast overleeft']['MarketingTribune in gesprek met Steven de Cleen, strategy director/oprichter ProudDesign, over de gevolgen van de coronacrisis voor zijn bureau. Hoe gaat ...']"
25,['Bureaus en corona: tijd voor bezinning']['Vandaag precies twee maanden geleden presenteerde premier Rutte de eerste coronamaatregelen. Hoe staan de reclamebureaus er nu voor? En wat voor ...']
26,['Corona |10 belangrijke juridische post-coronacrisis acties voor ondernemers']['Het consumentenvertrouwen is nog nooit zo snel gedaald en het IMF verwacht dit jaar een economische krimp van 7% door de corona-epidemie. De omzet van ...']
27,['Vul opnieuw de \'corona-enquête\' in en help mee het virus te bestrijden']['De Universiteit Antwerpen heeft een nieuwe lijst met vragen online gezet in het kader van haar grote corona-enquête. Daarmee wil ze gedragsveranderingen in ...']
28,"['De corona-erfenis voor de woningmarkt: 5 vragen aan Bas Wilberts (Savills)']['Nu het stof van de coronacrisis langzaam neerdaalt, is de vraag wat het effect van het virus is op de vastgoedmarkt voor de langere termijn. Wordt bij...']"
29,['Door corona extra run op \'eigen plekje\' | Binnenland | Telegraaf.nl']['Wie een volkstuin in Utrecht wil bemachtigen moet inmiddels jaren op de wachtlijst. Door de coronacrisis is de vraag naar een eigen stukje land explosief ...']
30,"['Slachterijen willen personeel laten testen op corona: \'Ook wij staan in de frontlinie\'']['Laat ruim 12.000 medewerkers in Nederlandse slachterijen zo snel mogelijk testen op corona. Dat wil de Centrale Organisatie voor de Vleessector (COV), ...']"
31,['Dit corona-hulpmiddel maakt van Sensire een betere werkgever']['VVT-organisatie Sensire ontwikkelde samen met Philips een corona-screener voor de medewerkers. Bestuurder Maarten van Rixtel is tevreden.']
32,['Agressie tegen politieagent neemt toe in tijden van corona']['Agenten worden in coronatijd meer geconfronteerd met agressie en geweld. Dat komt onder meer doordat de politie vaker op overlastmeldingen af moet.']
33,"['Gezamenlijk Statement aanpak corona-gerelateerde huurachterstanden']['Als woningcorporaties, maatschappelijk dienstverleners en de gemeente Amsterdam willen we voorkomen dat de coronacrisis leidt tot oplopende financiële ...']"
34,['Nertsenhouders worden bestookt met anonieme telefoontjes: \'Ik wens u corona en een hersentumor toe\'']['Verschillende nertsenhouders in de provincie zeggen dat ze telefonisch worden lastiggevallen. Maandag kwamen er bij een aantal nertsenhouderijen ...']
35,"['Is er dan nog tenminste één zekerheid over corona?']['Eensgezindheid over de oorzaak, de aanpak en de gevolgen van de coronacrisis is steeds verder te zoeken. De wereld lijkt zeven weken na de escalati...']"
36,"['Liveblog Corona: \'Coronavirus op retour volgens sterftecijfers\'']['Het is de week waarin een groot aantal coronamaatregelen versoepeld is. Zo gaan de basisscholieren weer naar school, mochten onder meer kappers, ...']"
37,['Twitter licht corona-nepnieuws toe met feitelijke informatie']['Twitter toont nieuwe waarschuwingen en labels bij tweets met onjuiste informatie over het coronavirus. Twitter pakt overduidelijk nepnieuws en schadelijke ...']
38,"['Corona of niet? Met een nieuwe test kun je het binnen een paar minuten weten, beloven de bedenkers']['Niet meer naar het lab en binnen twee minuten resultaat: als het aan de oprichters van de Nederlandse startup Spektrax ligt, is dit hoe de nieuwe testmethode ...']"
39,"['CORONABULLETIN #63: Corona-explosie in Duits grensdorp, zwembaden weer open en hekken verdwijnen bij geterroriseerd verpleeghuis']['De nieuwsberichten over het coronavirus volgen elkaar in rap tempo op. Geen tijd om alles te volgen? De Gelderlander zet dagelijks de belangrijkste ...']"
40,['Verpleegkundestudent in de ggz: \'Angst sterker aanwezig door corona\'']['Thuis online colleges volgen? Dat geldt niet voor Verpleegkundestudenten als de 21-jarige Birgit Vermeulen. Zij volgt een leertraject binnen de geestelijke.']
41,['Gehandicapte kinderen in de knel door corona. \'Wij worden behoorlijk vergeten\'']['Ook Van de Bilt vindt dat het kabinet in deze crisis te weinig aandacht heeft voor gehandicapte en chronisch zieke mensen. “Wij worden behoorlijk vergeten.']
42,"['Politieman Willem Scholten over Sint Maarten: „Klap van corona is harder dan na orkaan Irma.”']['DRONTEN – Eigenlijk zou hij op 10 mei pas terugkeren uit Sint Maarten. Brigadier van politie in Dronten Willem Scholten (53) draait, eerder dan hij had ...']"
43,['Niet zomaar een \'longziekte\': autopsies tonen dat corona ons over het hele lichaam kan raken']['Noem het nieuwe coronavirus niet zomaar een ademhalingsziekte die zich beperkt tot de bovenste en onderste luchtwegen. Want het virus valt mogelijk ook het ...']
44,"['\'Zonder corona zouden wij nooit met elkaar in contact zijn gekomen\'']['In wijken met veel armoede hebben de economische gevolgen van de coronacrisis grote impact. Zo ook in Hillesluis, een van de armste buurten van Rotterdam.']"
45,['Camera-auto\'s tegen corona van weg gehaald vanwege privacykritiek']['Privacy: Rotterdam gebruikt camera-auto\'s om coronamaatregelen te handhaven. Na kritische vragen van de Autoriteit Persoonsgegevens zijn ze van de weg…']
46,"['Na corona moet het beter: laat EU dus sturen op groener en gelijker']['Europees economisch herstel moet samengaan met keuzes voor duurzaamheid en sociale gelijkheid, betogen Jo Ritzen en André Knottnerus.']"
47,"['Impact corona op Caribisch gebied \'zeer zwaar\'']['De impact van het coronavirus op Curaçao, Aruba, Sint Maarten en de BES-eilanden is zo mogelijk nog groter dan in Nederland. De economie is er sterk ...']"
48,['Klap van Corona | Oogarts Tjeerd de Faber']['Iedereen krijgt klappen van Corona. Voor BNR-verslaggever Harmen van der Veen aanleiding om op bezoek te gaan bij mensen uit het nieuws van voor de ...']
49,"['Diesel uit de gratie, ondanks corona wél meer stekkerauto\'s verkocht']['Het Europese marktaandeel van elektrisch aangedreven personenauto\'s in het eerste kwartaal bijna verdrievoudigd ten opzichte van vorig jaar. Waar de ...']"
50,['Verzet van onderop tegen corona-aanpak']['Nederland pakt het coronavirus net even iets anders aan dan landen als Duitsland en Zuid-Korea. De actiegroep Containment.nu snapt niks van die koers en ...']
51,"['Column \'Corona Krullen\' - DRTV']['mei 12, 2020 | Nieuwsberichten. Column \'Corona Krullen\'. Beeldmateriaal door: DRTV. In deze bizarre coronatijd draagt er elke week een dominee of diaken ...']"
52,['Kapper verbiedt praten over coronavirus: \'We willen het positief houden\'']['Waar je ook komt of gaat: het coronavirus is al wekenlang het onderwerp van gesprek. Maar niet in de kapsalon van Jill Maria in Amsterdam. Het woord \'corona\' ...']
53,['Oefeningen voor overwinningsparade in Moskou leverde corona-uitbraak op onder militairen']['De grootscheepse militaire parade op het Rode Plein ter gelegenheid van de 75ste verjaardag van de overwinning op Hitler-Duitsland ging dit jaar ni...']
54,['Corona-update | Schoolpleinen stromen vol en wanneer kunnen we weer vakantie vieren in het buitenland?']['VideoDe nieuwsberichten over de coronacrisis volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Zo ben je ...']
55,"['Achterhoek krijgt eigen posteractie rond corona: \'groen is gaon\'']['BORCULO - Posters en stickers met groene pictogrammen die duidelijk maken hoe Achterhoekse bedrijven, instellingen en overheid omgaan met corona ...']"
56,['Alledaagse beslommeringen van corona: voer voor historici van de toekomst']['Vooral ook Oost-Brabant schrijft geschiedenis met dat venijnige corona-virus. BHIC wil dat vastleggen voor latere generaties en historici van de toekomst.']
