,0
0,"['Zeker vier Nederlandse kinderen met zeldzame ontstekingsziekte hadden corona']['Nadat in het buitenland zorgen zijn ontstaan over een mogelijke link tussen het coronavirus en de zeldzame ontstekingsziekte van Kawasaki, blijkt dat ook in ...']"
1,"['Corona-uitbraak Goeree-Overflakkee begon níet met de kerkdienst']['Een fatale kerkdienst in verpleeghuis Nieuw Rijsenburgh, dat zou het begin zijn geweest van de grote corona-uitbraak op het Zuid-Hollandse ...']"
2,['Corendon gaat toch niet testen op antistoffen corona']['Touroperator Corendon gaat toch geen sneltests aanbieden die moeten aantonen of je antistoffen tegen het coronavirus hebt.']
3,"['Corona in Zweden betekent gewoon naar het café: \'Problemen nu onder ogen zien\'']['Scholen, kappers en horeca dicht? In Zweden niet. Verslaggever Eelco Hiltermann vloog naar Stockholm, waar de aanpak van de coronacrisis heel anders is ...']"
4,['Frankrijk: onacceptabel als VS voorrang krijgt op corona-vaccin']['De Franse overheid noemt het \'onacceptabel\' dat het farmaceutische bedrijf Sanofi de Verenigde Staten voorrang geeft op het vaccin tegen het coronavirus.']
5,"['WHO waarschuwt: het is mogelijk dat corona nooit meer weggaat']['“Het is goed om het maar op tafel te gooien: er is een kans dat het virus nooit meer weggaat,” aldus directeur Michael Ryan van het Health Emergencies ...']"
6,['Nederlands coronamedicijn mogelijk over een halfjaar beschikbaar voor patiënten']['Onderzoekers van de Universiteit Utrecht (UU) en Erasmus MC in Rotterdam hebben goede hoop dat ze een medicijn tegen Covid-19 hebben gevonden.']
7,"['Na nieuwe uitbraak wil Wuhan alle 11 miljoen inwoners testen op corona']['Na een nieuwe, maar kleine, corona-uitbraak in Wuhan neemt China drastische maatregelen: alle 11,1 miljoen inwoners moeten worden getest op het virus.']"
8,['LIVE | Dubbele kans om verkeersslachtoffer te worden door corona']['Mensen lopen sinds de uitbraak van het coronavirus en de maatregelen daartegen twee keer zoveel kans om slachtoffer te worden van een verkeersongeluk.']
9,"['Bewust besmetten met corona voor vaccintest komt dichterbij']['Nu de coronacrisis aanhoudt, gaan wereldwijd stemmen op om de ontwikkeling van een vaccin te versnellen door proefpersonen bewust te besmetten met het ...']"
10,"['Corona: Geen nieuwe Drentse besmettingen, ziekenhuisopnamen en doden']['In Drenthe zijn sinds gisteren geen nieuwe coronabesmettingen gemeld. Dat blijkt uit cijfers van het Rijksinstituut voor Volksgezondheid en Milieu (RIVM).']"
11,"['Isala sluit speciale corona-afdelingen vanwege forse patiëntendaling']['Ziekenhuis Isala in Zwolle heeft een aantal verpleegafdelingen dat speciaal was ingericht voor coronapatiënten, de zogeheten cohortafdelingen, gesloten.']"
12,['Corona in Limburg: cijfers van 14 mei']['In Limburg zijn tot nu toe in totaal 4.675 mensen positief getest op besmetting met het coronavirus. Zeker 1.714 Limburgers zijn opgenomen (geweest) in het ...']
13,"['Corona is lang niet het enige probleem voor Floriade 2022']['De Floriade van 2022 dreigt een molensteen te worden om de nek van Almere. De corona-uitbraak is niet het enige probleem, blijkt uit een donderdag ...']"
14,"['Inwoner van de gemeente Schagen overleden aan corona, virus heeft in totaal achttien levens geëist in de Noordkop']['Er is nog een inwoner van de gemeente Schagen overleden aan corona. In totaal zijn er in de Kop van Noord-Holland nu achttien inwoners overleden aan het ...']"
15,"['Woonzorgcentrum Heerde verloor 23 bewoners aan corona, hoe ga je dan verder?']['In Brinkhoven, het woonzorgcentrum in het hart van Heerde, stierven 23 mensen aan corona, 12 werden er ziek maar overleefden het virus. De afgelopen drie ...']"
16,['Wetenschappers VS maken mondkapje dat oplicht door corona']['Aan de Amerikaanse universiteiten van Harvard en MIT wordt gewerkt aan een nieuwe manier om het coronavirus op te sporen: een mondkapje dat oplicht als ...']
17,"['Theaterwerkplaats Novalis, voor mensen met een beperking, heeft het zwaar door \'corona\'']['VUGHT - Al twee maanden geen \'theatermakers\', geen horeca-activiteiten en ook géén evenementen of verhuur van vergaderruimtes. Het liep zo lekker.']"
18,"['Corona in Friesland - 14 mei | Profclubs praten over toekomst voetbal, daling dodental coronavirus zet door, maar \'cijfers verlopen grillig\'']['De daling in het aantal coronadoden en ic-opnames zet door, maar volgens het RIVM verlopen de cijfers \'grillig\' en kan het vrijdag zo weer anders zijn.']"
19,['Welke schade zie je precies in het lichaam van overleden corona-patiënten?']['Pathologisch onderzoek bij overleden patiënten bevestigt dat het coronavirus veel meer dan alleen longontstekingen veroorzaakt. Katrien Grünberg is ...']
20,"['Leraren tijdens corona: grote betrokkenheid, hoge werkdruk']['De saamhorigheid van het personeel om tijdens de coronacrisis het onderwijs zo goed mogelijk door te laten gaan, is groot. De werkdruk is echter hoog en veel ...']"
21,"['Inheemse volkeren VS hard getroffen door corona, hulp komt uit verrassende hoek']['Artsen Zonder Grenzen is normaal vooral actief in allerlei ramp- en oorlogsgebieden, maar stuurt nu voor het eerst in haar bestaan een medisch team naar de ...']"
22,"['Corona proof fietsarrangement maakt bezoek aan Oisterwijk meer dan waard']['Het is op de fiets goed te doen, genieten van de Oisterwijkse natuur en omgeving, en tegelijk ook rekening houden met de maatregelen. Met de voorjaarszon ...']"
23,"['Limburgse bedrijven lanceren warmtecamera voor \'corona-herke...']['Met koortsmeters kunnen werkgevers, luchtvaartmaatschappijen en festivalorganisaties razendsnel mensen met mogelijke coronabesmetting weren. Strenge ...']"
24,['Nederbelgen klaar met strenge corona-regels België: \'We zijn net gevangenen\'']['Steeds meer Nederlanders die in België wonen raken gefrustreerd over de Belgische strenge aanpak van de coronacrisis. Vooral het feit dat de grenzen ...']
25,['Fietsfabrikant VanMoof versnelt dankzij corona']['Elektrische fietsen: VanMoof merkt het corona-effect. Om de plots toegenomen vraag naar elektrische fietsen bij te benen is extra kapitaal nodig. Hoe leger…']
26,"['Kunstruimte Het Hem in Zaandam in problemen door corona']['Kunstruimte Het Hem in Zaandam moet door de coronacrisis snel op zoek naar nieuwe financiers. Binnenkort start een crowdfundingactie, om de heropening ...']"
27,"['IC-verpleegkundige Britt vlogt: ""Het is rustig op de corona-afdeling""']['HAARLEM - Het personeel in de Noord-Hollandse ziekenhuizen ziet het duidelijkst of de.']"
