,0
28,"['Volkskrant Ochtend: Corona financiële strop voor gemeenten | Herdenken moet, maar het is wel een hindernisbaan']['Corona financiële strop voor gemeenten Door de coronacrisis dreigen gemeenten verder in financiële problemen te raken. Inkomsten verdwijnen als sne...']"
29,['Ferrari verlaagt verwachtingen vanwege corona']['Sportwagenmaker Ferrari is somberder geworden over de prestaties dit jaar. De productie van het Italiaanse bedrijf lag geruime tijd stil vanwege de lockdown in ...']
30,"['\'Binnen twee weken was er van die grote, sterke man niets meer over\'']['In deze serie laten we nabestaanden aan het woord over hun geliefden die zijn overleden door corona. Deze keer een eerbetoon aan Piet van Orsouw (80) uit ...']"
31,"['De reisbranche tijdens corona']['REGIO De reisbranche is, net als vele branches, keihard getroffen tijdens de Corona crisis. Sinds half maart reist niemand meer en worden vakanties voorlopig ...']"
32,"['Appocalyps bij corona-apps voor tracking en tracing']['Drie soorten corona-apps zijn er, zoals een tracking-app, een diagnostische app en en post lockdown-app. Bij nummer 2 spelen privacy- en andere problemen.']"
33,['Duo doet zich voor als \'Corona controle dienst\' en rooft huis 67-jarige vrouw leeg']['Een duo heeft maandag het huis van een 67-jarige vrouw leeggeroofd. Ze kwamen binnen door zich voor te doen als de \'corona-controledienst\'.']
34,"['LIVE. Cijfers blijven dalen: 59 nieuwe hospitalisaties en 80 overlijdens in voorbije 24 uur - Corona-expert: ""Noteer iedere dag met wie u in contact kwam”']['Het aantal doden en nieuwe ziekenhuisopnames door Covid-19 blijft verder dalen in België. Het totale aantal besmettingen is opgelopen tot meer dan 50.000.']"
35,['Iedereen wil een zuurstofmeter tegen corona']['RIVM (maandag): Aantal overledenen: 26. Aantal opnames: +42. Aantal besmettingen: +199. Waarschuwing \'zaagtandeffect\' viroloog Osterhaus. \'De curve ...']
36,"['Corona | \'Dubieuze tussenpersonen bieden Tozo-hulp aan\'']['Bij ZZP-organisaties, vakbonden en gemeenten zijn de afgelopen weken meerdere klachten binnengekomen over bedrijfjes die hulp aanbieden bij aanvragen ...']"
37,"['Coronaspuger opgepakt in Bussum: ""Hier, heb je corona""']['BUSSUM - De politie in Bussum heeft gisteravond iemand opgepakt die ervan wordt verdacht ieman.']"
38,['Corona | Kabinet komt met meetlat voor steun aan grote bedrijven']['De ministers Wiebes (Economische Zaken en Klimaat) en Hoekstra (Financiën) melden in een Kamerbrief welke voorwaarden het kabinet stelt aan individuele ...']
39,"['Corona | Oproep: verleng NOW-regeling tot na de bouwvak']['Bedrijven in de bouw, afbouw, infra, onderhoud, groen en grond moeten ook gebruik kunnen maken van de NOW-regeling na de bouwvak, want pas dan ...']"
40,['Corona en je portemonnee: bespaar je nu geld of juist niet?']['Veel mensen houden geld over nu ze vooral thuisblijven door corona. Geldt dat ook voor jou? En ga je dan online shoppen of je voorbereiden op crisistijden?']
41,['LIVEBLOG CORONA 4 MEI']['In dit liveblog houdt Binnenlands Bestuur naast de reguliere berichtgeving een chronologisch overzicht bij van het laatste nieuws over het …']
42,['Corona in Dordrecht: zoveel besmettingen en sterfgevallen zijn er nu geregistreerd']['Hoeveel mensen in Dordrecht zijn besmet met corona? In dit artikel lees je meer over de laatste info van het Rijksinstituut voor Volksgezondheid.']
43,"['Deze bedrijven draaien als een tierelier door corona: \'En dat is soms best een beetje dubbel\'']['WEST-BRABANT - Veel ondernemers in West-Brabant hebben het ontzettend zwaar door de coronacrisis, maar er zijn ook bedrijven die hierdoor juist ...']"
44,"['""Ons bedrijf heeft een zetje gekregen door corona""']['De uitbraak van het coronavirus is van positieve invloed op het Almeerse softwarebedrijf YOHO. Dat zegt oprichter Olivier Verhage. Door de gevolgen van de ...']"
45,['Personeel Nedcar krijgt corona-instructies']['Bij VDL Nedcar in Born hebben medewerkers maandag \'anderhalvemetertraining\' gekregen. Het personeel heeft deze corona-instructies gekregen omdat de ...']
46,"['Corona suddert in Achterhoek nog na: in regio twee sterfgevallen en zeven ziekenhuisopnames']['\'S-HEERENBERG - Het coronavirus lijkt in de regio op zijn retour, maar suddert in de Achterhoek nog een beetje na. Zo viel er volgens gezondheidsdienst ...']"
47,['\'Zaagtandeffect is onze grootste vijand bij corona-exit\'']['In de ons omringende landen worden de \'ontsnappingsstrategieën\' uit de coronalockdown steeds duidelijker. Wat zou Nederland moeten doen om de ...']
48,"['Geen zomervakantie in het buitenland door corona, dus op jacht naar een boot']['De botenverkoop zit in de lift. Veel vakanties gaan niet door, dus gaan mensen op zoek naar toch een beetje vakantiegevoel.']"
49,['Bedrijven van naam en faam wankelen door corona in Zuid-Afrika']['De ondergang van South African Airways lijkt onvermijdelijk. Voor de warenhuizen van Edgars is faillissementsbescherming aangevraagd.']
50,['Zeventig personen gewaarschuwd na overtreden corona-regels in natuur bij Tilburg: \'Het was enorm druk\'']['In het natuurgebied Gorp en Roovert ten zuiden van Tilburg zijn zeventig waarschuwingen uitgedeeld voor het overtreden van de corona-regels. Dat meldt de ...']
51,"['Corona en HR Analytics: datagedreven kijken naar verzuim, verlof en betrokkenheid']['Dagelijks krijgen we vanuit het RIVM de laatste Nederlandse coronacijfers door en wereldwijd volgen we trends rondom de verspreiding van het virus.']"
52,['Nieuws - Eén nieuw sterfgeval door corona in provincie']['In Flevoland is sinds zondag één nieuw sterfgeval gemeld dat door COVID-19 is veroorzaakt. Het gaat om iemand uit Lelystad. Daarmee komt het totale aantal ...']
53,['Dankzij corona blijft Weerter politiemol nog even uit de cel']['Het gerechtshof in Den Bosch gelast onmiddellijke gevangenneming van de Weerter politiemol Mark M. (33). Omdat hij geheime politiestukken lekte moet hij vi.']
54,['CDA en D66 willen Europese druk op China om corona-onderzoek']['De Europese Unie moet druk zetten op China om internationaal onderzoek naar de oorsprong van het coronavirus toe te laten. Coalitiepartijen CDA en D66 ...']
55,"['Corona versterkt ongelijkheid onder studenten op de Vrije Universiteit']['Nieuws | de redactie. 4 mei 2020 | De coronacrisis vergroot de ongelijkheid onder VU-studenten, zo waarschuwt het Diversity Office van de Amsterdamse ...']"
56,['Bam! Inlichtingendienst VS: \'Communistische Partij China wist dat corona-uitbraak zou zorgen voor een pandemie! China paste expres beleid hierop aan in het geheim\'']['Donald Trump beweerde al een tijdje dat de hele uitbraak ...']
57,['Corona-teststraat bij bioscoop in Ede']['De Veiligheids- en Gezondheidsregio Gelderland-Midden (VGGM) opent woensdag een coronateststraat in Ede bij Pathé. Die komt in een afgesloten ruimte ...']
58,['Honderden huurders in Groningen in de knel door corona - Groningen']['Honderden huurders in Groningen melden zich bij hun woningcorporatie met betalingsproblemen door de coronacrisis. Hun inkomen is zo ver teruggevallen ...']
59,"['Na corona, een nieuwe regering? “Mag het alstublieft anders dan het gekissebis van afgelopen jaar?”']['In politieke sferen klinkt het steeds luider om tegen september een nieuwe regering op de been te brengen.']"
60,['\'Zachte\' aanpak corona behoedt Zweden niet voor recessie']['Zweden staat over de hele wereld in de belangstelling omdat het de verspreiding van het coronavirus niet tegengaat met een harde lockdown zoals buurlanden ...']
61,['Nederland telt in tijden van corona veel wijsneuzen (column)']['In tijden van algehele malaise blijkt ineens hoeveel wijsneuzen Nederland eigenlijk telt. Zonder enige kennis van zaken schromen ze niet om op de stoel van...']
62,"['\'Corona-regels verwarrend\' | Wat U Zegt | Telegraaf.nl']['Door alle coronamaatregelen, zien we bijna door de bomen het bos niet meer. Het wordt per dag onduidelijker wat wel en wat niet mag, vindt Rob Koelewijn.']"
63,"['Corona vervroegt het einde van De Winkel in Venhorst']['VENHORST - De Winkel, een initiatief van vijf vrouwen uit Venhorst, is niet meer. De winkel was vanwege het corona-virus al sinds 18 maart dicht.']"
64,"['Heel Overijssel fietst: corona dwingt tot individueel sporten']['Heel Overijssel fietst. Doordat teamsporten vanwege de coronamaatregelen momenteel niet mogelijk zijn, springen veel Overijsselaars deze dagen op de ...']"
65,"['Rijncruiseschip voor huisvesting arbeidsmigranten met corona']['Op het Zwitsers riviercruiseschip Bellejour, dat opgelegd is in de Nieuwe Haven in Arnhem, zitten sinds zondag 3 mei 28 arbeidsmigranten uit een ...']"
66,['VIDEO: Hooikoorts of corona?']['Hoe weet je of je hooikoorts hebt of COVID-19 (coronavirus)? Kijk naar de overeenkomsten en de verschillen in dit filmpje van het RIVM.']
67,['Tom Cochez | 4 mei 2020 Corona: wat is nu het plan?']['De komende weken zullen in het teken staan van het langzaam lossen van de lockdown. De exitstrategie staat voorop. Maar waarheen leidt het pad? Wat is het.']
68,"['Schrijf over verdriet en hoop van corona']['Heemskerk Hoe ervaren Heemskerkers \'deze vreemde, verdrietige, onbestemde periode\'? Sociaal werker Henk Huisman is daar benieuwd naar.']"
69,"['COV: \'Sluiting vleesbedrijven in Nederland vanwege corona niet aan de orde\'']['Sluiting van vleesbedrijven en/of slachterijen in verband met coronabesmettingen, zoals in de VS gebeurt, is niet aan de orde in Nederland. Dat zegt ...']"
70,['RIVM: 166 Eindhovenaren met corona in het ziekenhuis']['Het aantal ziekenhuisopnames van mensen uit Eindhoven met het coronavirus is gestegen naar 166. Dat is er één meer dan gisteren. Dat blijkt uit de laatste ...']
71,"['De beurs deze week: corona en kwartaalcijfers Ahold, KLM, ING']['Deze week staat uiteraard wederom in het teken van de coronacrisis: wordt de situatie minder ernstig en kunnen de lockdownmaatregelen worden versoepeld?']"
72,"['Veel lege bedden bij zorgcentra en verpleeghuizen op de Veluwe door corona']['Zorggroep Noordwest Veluwe heeft door een opnamestop in verband met de coronacrisis, momenteel zo\'n 70 bedden leeg staan. Dat is 10 procent van het ...']"
73,['Elke dag een tv-recensie: \'Even tot hier\' maakt corona om te lachen']['Lezers van deze stukjes behorende tot de groep van doorwrochte buisklevers is het vast opgevallen hoe weinig ik in het zorgeloze pre-coronatijdperk oppikte ...']
74,"['28 arbeidsmigranten die besmet zijn met corona, werken bij slachterij Vion in Scherpenzeel']['De 28 Oost-Europese arbeidsmigranten uit Velp die dit weekend met een coronabesmetting in isolatie zijn geplaatst op een passagiersboot in Arnhem, werkten ...']"
75,"['Logopedisten worstelen tijdens corona: \'Nieuwe instroom blijft uit\'']['Telelogopedie, afhakende leerlingen en geen nieuwe instroom. Logopedisten houden de moed erin, maar zien ook problemen ontstaan tijdens de coronacrisis.']"
76,"['""Invloed corona op fruitteelt tot nog toe beperkt""']['""De invloed van het coronavirus op de fruitsector is tot nog toe redelijk beperkt, maar ik weet niet hoe het de rest van het jaar zal gaan\', zegt Frederik Bunt, ...']"
77,['Stoor ik? Met toernooidirecteur Kees van Oostenrijk over tennis en corona: \'Wat is toptennis zonder publiek?\' - Sport']['Met de rubriek \'Stoor ik..?\' haalt de sportredactie tijdens de coronacrisis een oud paardje van stal. Hierbij bellen we met iemand uit de sportwereld met de vraag ...']
78,"['Reuzenstap door corona: optocht in Oisterwijk verplaatst naar 2025']['OISTERWIJK - De vijfjaarlijkse Reuzenoptocht die op 20 september door Oisterwijk zou trekken, is geannuleerd. ,,We gaan nu in 2025 extra uitpakken"", blikt ...']"
79,"['Emile Roemer krijgt klus corona arbeidsmigranten']['Waarnemend burgemeester van Heerlen en oud-SP-leider Emile Roemer is door minister Koolmees van Sociale Zaken gevraagd om te kijken wat er nodig is, ...']"
80,['Corona-liveblog #34: Bovag: 15% consumenten ziet af van aankoop auto | 3% meer apk\'s in april']['Het platform voor het midden en hoger management in de autobranche.']
81,['67-jarige vrouw in Rotterdam slachtoffer van Corona-babbeltruc']['Rotterdam – “Goedemorgen. We zijn van de corona controle dienst van de gemeente.” Met deze woorden liet een 67-jarige vrouw aan het Overstortpad een ...']
82,"['Advies AG aan Hoge Raad: corona-betekening niet in overeenstemming met bestaande wettelijke regels']['Wanneer een deurwaarder een gerechtelijke mededeling in een gesloten envelop in de brievenbus achterlaat in plaats van dit, met inachtneming van ...']"
83,"['Weer aanwijzingen dat BMR-vaccin beschermt tegen corona']['Opnieuw vinden wetenschappers voorzichtige aanwijzingen dat het vaccin tegen bof, mazelen en rode hond de ernst van Covid-19 kan tegengaan. Dat zou...']"
84,"['Corona in het kort: trouwen in coronatijd &amp; sobere herdenking Tweede Wereldoorlog']['Het coronavirus houdt ons land in z\'n greep. Van dag tot dag praten wij u bij over het laatste nieuws rondom het virus, de maatregelen en hoe we er mee ...']"
85,"['Sybilla Dekker: \'Advies Zuidasdok blijft onveranderd ondanks corona\'']['Het advies voor miljardenproject Zuidasdok wordt niet aangepast nu de coronacrisis ook in de bouw zijn sporen achterlaat. Dat zegt Sybilla Dekker, minister van ...']"
86,['Britse Trevor (76) kan zijn gesneuvelde vader Ben door corona niet herdenken en schrijft brief aan Dalfsen']['De Britse Trevor Jolliffe (76) komt vrijwel ieder jaar rond 4 en 5 mei met zijn vrouw Sheila naar Dalfsen om zijn vader te gedenken. Die kwam om het leven toen ...']
87,"['LIVEBLOG | Corona-teststraat bij bioscoop in Ede en voetbalclubs weer in training']['Dit is ons liveblog over het coronavirus. Hier melden we alle ontwikkelingen rond het virus, in Gelderland en wat verder belangrijk is om te weten voor jou.']"
88,"['LIVE | Trump: \'Eind 2020 vaccin beschikbaar\' en Suriname is vrij van corona']['Het aantal nieuwe sterfgevallen lijkt wereldwijd te dalen of verloopt langzamer, onder meer in Duitsland, Frankrijk en de Verenigde Staten. En ook in Nederland ...']"
