,0
0,['Corona grijpt om zich heen in Japan: \'Niets lijkt hier verplicht\'']['Lang bleven strenge maatregelen uit in Japan. Alsof er nauwelijks corona bestond in het land van de rijzende zon. De 25-jarige Roxane Beekhuizen woont in ...']
1,"['Sterfte of genezing: waar komt de afname op de ic\'s vandaan?']['Al twee weken horen we bijna dagelijks dat het aantal patiënten op de ic\'s afneemt. Dat lijkt mooi nieuws, want zo gaat de druk eindelijk een beetje van de ketel.']"
2,"['RIVM: dodental corona met 112 opgelopen naar 4.289, 123 nieuwe ziekenhuisopnames']['De afgelopen 24 uur werden er 112 nieuwe doden door corona gemeld bij het RIVM. In hetzelfde tijdsbestek is het aantal ziekenhuisopnames gestegen met ...']"
3,"['Corona-update | Cliënten \'t Bouwhuis besmet, gratis mondkapjes uit Denekamp']['ENSCHEDE - Het Twentse nieuws omtrent het coronavirus volgt zich in zo\'n hoog tempo op, dat het bijna niet bij te benen is. Daarom maken we elke dag een ...']"
4,"['Sterfte iets gedaald, maar nog ruim 1000 doden meer dan voor corona']['Er overleden vorige week 4313 mensen in Nederland. Meer dan normaal: begin dit jaar, voor de uitbraak van het coronavirus, overleden er gemiddeld iets meer ...']"
5,['Corona-update | | Coronavirus']['VIDEODe nieuwsberichten over het coronavirus volgen elkaar in een rap tempo op. De Stentor zet dagelijks de belangrijkste gebeurtenissen op een rij. Zo ben ...']
6,"['Rutte: bezuinigen niet nodig, ondanks \'dreun\' voor economie door corona']['videoDe coronacrisis geeft de Nederlandse economie een \'enorme dreun\', maar Nederland hoeft niet te vrezen voor een flinke bezuinigingsronde. Dat heeft ...']"
7,['Corona-spoedwet in werking getreden']['De Tijdelijke wet COVID-19 Justitie en Veiligheid U verlaat Rechtspraak.nl(de corona-spoedwet) is vandaag in het Staatsblad gepubliceerd en daarmee in ...']
8,"['Experts: \'Na corona ligt legionella op de loer\'']['Lockdownmaatregelen in de hele wereld zorgen ervoor dat mensen massaal thuiswerken en dat veel fabrieken, scholen en kantoorgebouwen uitgestorven zijn.']"
9,['LIVEBLOG CORONA 24 APRIL 2020']['In dit liveblog houdt Binnenlands Bestuur naast de reguliere berichtgeving een chronologisch overzicht bij van het laatste nieuws over het …']
10,"['We hebben verspreiding van corona in Groningen en Drenthe in eigen hand. Virus steekt onze grenzen amper over']['Het coronavirus wordt in het Noorden alleen nog maar overgedragen doordat mensen in familiekring geen afstand tot elkaar houden, en door zorgpersoneel dat ...']"
11,"['Oudere met corona, blijf je thuis of ga je naar het ziekenhuis?']['HELLENDOORN - Stel je bent op leeftijd, hebt een kwetsbare gezondheid en krijgt corona. Wil je dan thuis zorg ontvangen of ga je liever naar het ziekenhuis of ...']"
12,"['Tegenlicht trekt corona-uitzending in om veiligheid mensen in China']['De VPRO heeft besloten een geplande aflevering van Tegenlicht over corona in China niet uit te zenden. ""Personen in China"" zouden door de uitzending in ...']"
13,"['Hoe dodelijk is het coronavirus? Dit zeggen de cijfers']['Het is de vraag waar iedereen het antwoord op zoekt: hoe dodelijk is het coronavirus nu precies? De hoofdlijnen zijn bekend. Hoe ouder of zieker een patiënt is, ...']"
