,0
0,"['Voorlopig vaccin tegen corona komt minder snel door afname aantal besmettingen']['updateNIJMEGEN - Het \'voorlopige\' vaccin tegen corona dat momenteel door het Nijmeegse Radboudumc wordt getest, komt mogelijk later doordat het aantal ...']"
1,['Corona vastgesteld bij hond en drie katten in Nederland']['Voor het eerst is een coronabesmetting vastgesteld bij een hond in Nederland. Ook is het virus bij drie katten aangetroffen. Dat heeft minister Carola Schouten ...']
2,['Lak tegen corona']['[HAARLEM] #laktegencorona is een campagne om kleur en vrolijkheid in huis te brengen én tegelijkertijd geld in te zamelen voor het Corona Research Fonds ...']
3,"['\'Corona is in China ontstaan hè, niet in een Brabantse veehouderij\'']['Joke van der Giessen gaat namens het RIVM onderzoeken of mensen in gebieden met veel vee en luchtvervuiling kwetsbaarder zijn voor corona.']"
4,['Nederlands medicijn tegen corona mogelijk al over 6 maanden beschikbaar']['Een unieke vondst: wetenschappers hebben een antilichaam gevonden dat goede hoop geeft voor een medicijn tegen een corona-infectie.']
5,['LIVEBLOG | Rutte: \'Horeca mogelijk open tijdens pinksterweekend\'']['Volg in dit liveblog de belangrijkste ontwikkelingen rond de coronacrisis. Het land komt langzaam uit de intelligente lockdown.']
6,['Naar een openbaar toilet? Dan doortrekken met gesloten deksel tegen corona']['Van ongeveer 7000 openbare toiletten naar zo\'n 500 in het hele land. Het sluiten van horeca en andere openbare plekken vanwege de corona-uitbraak zorgde ...']
7,['Nog maar 10 procent van bezoekers teststraat Zelhem heeft corona']['ZELHEM - Van de zieke Achterhoekers die zich melden bij de corona teststraat in Zelhem is nog maar 10 procent besmet met het gevreesde virus. In april lag ...']
8,"['Corona in Friesland - 15 mei | Voor het eerst sinds 2 mei is er weer een overledene gemeld']['Er zijn in Friesland sinds donderdag twee mensen positief getest op het coronavirus, dat meldt de GGD Fryslân in haar dagelijkse update. Voor het eerst sinds 2 ...']"
9,"['Dodenaantal corona in Limburg stijgt met vier']['Het aantal coronaslachtoffers in Limburg is opgelopen tot 688. Afgelopen etmaal kwamen er vier bij: drie in Zuid-Limburg, een in Noord- en Midden-Limburg.']"
10,"['Renée houdt haar kinderen thuis van school uit angst voor corona']['Hoewel de scholen na weken coronasluiting deze week weer begonnen zijn, houdt Renée van Mildert haar kinderen thuis. Noraa (5) en AJ (9) kunnen niet naar ...']"
11,['Leerkrachten merken: \'corona-onderwijs\' heeft naast nadelen ook voordelen']['De eerste lesweek sinds de uitbraak van het coronavirus zit erop. De basisscholen beten het spits af met succes. Volgens de Algemene Vereniging ...']
12,['Zeeuwen hebben meer angst en stres door corona']['Meer dan de helft van de Zeeuwen zegt vertrouwen te hebben in de maatregelen. Ze denken dat vooral het regelmatig wassen van de handen en het ...']
13,['Sinds woensdag twee Haarlemmers overleden aan gevolgen corona']['[REGIO] Sinds onze laatste update afgelopen woensdag zijn er twee patiënten uit Haarlem overleden aan de gevolgen van corona. Sinds de uitbraak van de ...']
14,"['Nertsenbedrijf vormt geen risico verspreiding corona']['Met corona besmette nertsenhouderijen vormen geen risico voor verdere verspreiding van het virus onder mensen, dat concludeert het RIVM. Uit voorzorg ...']"
15,['Aantal boetes corona-virus beperkt']['[NIJKERK] In Nijkerk zijn toen nu toe vijf boetes uitgedeeld voor overtredingen rond de corona-regels. Het gaat dan vooral om mensen die aanwezig waren op ...']
16,['Twee maanden corona: 1270 doden meer dan verwacht']['In Limburg stierven de eerste twee maanden van de corona-epidemie bijna 1300 mensen meer dan normaal in die periode. De Limburgse oversterfte is ...']
17,['Onvervulde kinderwens: door corona duurt het nóg langer']['Voor wie een kinderwens heeft telt elke maand. Duizenden vrouwen kregen in de afgelopen weken de frustrerende mededeling dat hun ...']
18,['Bijna alle bewoners van Cypressenhof in Enschede besmet met corona: \'Wij zitten er nog middenin\'']['ENSCHEDE - Van de 25 ouderen met dementie die op De Cypressenhof in Enschede wonen heeft het merendeel corona. Ook een groot deel van het ...']
19,"['LIVEBLOG | Hond en katten besmet met corona']['Dit is ons liveblog over het coronavirus. Hier melden we alle ontwikkelingen rond het virus, in Gelderland en wat verder belangrijk is om te weten voor jou.']"
20,['Onderzoek: huiskat kan andere katten besmetten met corona']['Wereldwijd zijn er gevallen bekend van huiskatten die ziek worden van het coronavirus. Vaak zijn ze besmet omdat het baasje ook ziek is. Maar uit een ...']
21,['Irma en Anne testen mensen op corona in Zelhem: \'Ik ben niet bang om het te krijgen\'']['ZELHEM - Twee Achterhoekse GGD\'ers werken in de vuurlinie als het gaat om de strijd tegen corona. Irma Thus staat enkele dagen per week in de teststraat in ...']
22,['Interesse van grote farmaceuten in Nederlandse vondst tegen corona-infectie']['Het belang van een Nederlands onderzoek naar een antilichaam tegen het coronavirus wordt steeds duidelijker. Inmiddels zijn grote farmaceuten ...']
