,0
0,['Frank zit in quarantaine: \'Wat kraaien met corona te maken hebben\'']['Net als veel Nederlanders blijft redacteur Frank Poorthuis thuis. Frank zit in de risicogroep. Verslag van dag 48. Lees alle eerdere afleveringen hier terug.']
1,['Demografen: corona eist net iets meer levens dan zware griepgolf']['Door het nieuwe coronavirus overlijden op korte termijn waarschijnlijk net iets meer Nederlanders dan tijdens de zware griepepidemie.']
2,['Zo gaan andere landen corona te lijf: het ene wat succesvoller dan het andere']['Meer dan drie miljoen mensen zijn nu wereldwijd besmet met het coronavirus. Ruim 217.000 mensen hebben het niet overleefd. Terwijl de meeste aandacht ...']
3,['Link corona en ontstekingsziekte \'niet bewezen\' | Buitenland']['Britse kinderartsen zijn boos op minister van Volksgezondheid Matt Hancock en de NHS. Eerder deze week hebben Hancock en de Britse gezondheidsdienst ...']
4,['Tweede marineschip VS getroffen door corona-uitbraak']['Ontwikkelingen Covid-19: Chris Koenis 21:33 Eerste museum valt om door coronacrisis Het Tassenmuseum in Amsterdam is het eerste Nederlandse museum ...']
5,"['Loop je ook risico in de rij voor de winkel, bijvoorbeeld door de wind?']['Op de redactie van RTL Nieuws komen de laatste tijd veel dezelfde soort vragen binnen: verspreidt het virus zich buiten sneller of juist niet? ""Kan de wind het ...']"
6,"['Zeelieden nauwelijks afgelost vanwege corona, gevaar voor oververmoeidheid']['Bemanning van Nederlandse zeeschepen kan door het coronavirus nauwelijks worden afgelost. De zeelieden zitten vaak al maanden vast op een schip en dat ...']"
7,"['Corona: meer nieuwe besmettingen, ziekenhuisopnames en doden']['Het aantal besmettingen, ziekenhuisopnames én doden door het coronavirus zijn vandaag gestegen. Dit blijkt uit de nieuwste cijfers van het Rijksinstituut voor ...']"
8,"['Corona in het Kort #31: Paspoppenshow en een luchtspektakel']['videoHet coronavirus houdt ons land in z\'n greep. Van dag tot dag praten wij u bij over het laatste nieuws rondom het virus, de maatregelen en hoe we er mee ...']"
9,"['Corona eist 20 nieuwe slachtoffers in Gelderland, 14 patiënten naar het ziekenhuis']['Het coronavirus heeft in Gelderland inmiddels zeker 556 dodelijke slachtoffers geëist. Dat blijkt uit de meest recente cijfers van het RIVM. Ten opzichte van ...']"
